text,timestamp,likes,sentiment,Unnamed: 4
"""she is a sitting vice president with a fine record of public service and no taint of corruption. on paper, leni robredo should be a dream candidate."" not my words but of bbc news'.",2022-05-07 23:54:09,0,positive,
bat hinde pumunta si leni sa davao? alam niya ba na walang pupunta sa rally niya kase mayor si inday sara sa davao?,2022-05-07 23:54:07,2,negative,
huhu my heart. akon fave cousin kag iya husband kay leni pati si tito. yes nag bati na kami haha. ang isa ko ka older cousin nga hindi close kay bbm huhu ga leni lutang2 siya ya poga. disappointed but not surprised. try ko convert ang isa ko pa ka cousin.,2022-05-07 23:54:06,1,neutral,
tumigil ka na ! useless na ang kapuputak mo. hindi elitista si vp leni !! manood ka na lang at matuto ka!,2022-05-07 23:53:54,55,neutral,
edi sanaol nakapunta sa makati rally ni leni ampotchi ang lapit lapit lng nmn ma bat di moko pinayagan,2022-05-07 23:53:50,0,negative,
umabot na pala kagabi na 1million 😭😭 grabee kakaproud sabihin na isa ako sa mga tumindig sa mismong grounds ng miting de avance ni vp leni 😭,2022-05-07 23:53:43,0,positive,
"sabi mo di ba, pag namulat na, kasalanan na ang pag pikit pero baket bbm ka? i know na may sarili tayong paniniwala pero di batayan ang religion cyst, bayan!! bayan!! gising, di kita kilalang ganyan. mahal kita at gusto ko imulat ang mata mo jeng!! alam mong dapat si leni!!",2022-05-07 23:53:40,2,negative,
"lol lack of understanding. kakapagod ka na, grabe na sya mag salita against leni since presscon na let leni withdraw. eh sinu ba nagsabi nun? blaming others for his actions ahaay",2022-05-07 23:53:34,7,negative,
natakot ako len hype iba tingin ng mama mo leni 😂😂,2022-05-07 23:53:20,0,neutral,
iyong simple lang ang bahay ni leni at di sa mamahaling village. iyong pinakamallit ang pagaari kumpara sa ibang presidentiables. iyong dinonate sa marawi ang perang binigay sa kanya para sa election protest kaysa sa ginawang savings. isip isip mayor bago ibuka ang bibig.,2022-05-07 23:53:19,131,neutral,
mga iyakin for leni!!,2022-05-07 23:53:17,1,positive,
yes leni is trapo.,2022-05-07 23:53:03,3,negative,
"pag nakita niu ou aq sa ayala malls manila bay na punong puno ng bbmies pero leni parin tapos naka yellow mask at white polo shirt,, yas aq po un 😍",2022-05-07 23:52:20,0,neutral,
hahahahhahahaha pag kay leni volunteers daw pag kay bbm hakot? ganun? 😂😂 patawa kayo gawain nyo kasi😂😂,2022-05-07 23:52:19,0,negative,
happy kayko kay ako friends sa dota2 kay ila ivote kay si vp leni😭,2022-05-07 23:52:15,0,positive,
"so i am already mentally stable, i did not cry for almost 10 months but when i watched the meeting de avance, i literally cry idk why but i feel that we really need vp leni. the most that scared me is if ever na hindi si vp leni manalo sana wag naman is hindi nya magawa yung",2022-05-07 23:51:54,0,negative,
"thanks for your dignity, we stand as one, lenikiko win",2022-05-07 23:51:53,0,positive,
d mo maramdaman sinabi ni leni kc binabasa.. scripted d mula sa puso..,2022-05-07 23:51:47,0,negative,
my tito went from ping to isko to leni!! yaass,2022-05-07 23:51:22,2,positive,
"pansin niyo? daming kakamputas nagkakasala sa batas this election season and yet 'yung sinasamba nila, which is si madumb, hindi man lang sila macall out. expecting a magulo na pilipinas if leni wins. bcos for sure, maghahaharian sila. makatilspink marcosduterte2022",2022-05-07 23:51:22,4,negative,
or the other way around..leni will upset bebem in his stronghold..,2022-05-07 23:51:18,1,negative,
"ngano mani, mag breakdown jud ko basta mapildi si vp leni.😭",2022-05-07 23:51:16,1,negative,
good morning namam kay taxi driver na dds ar marcos apologist hahahaha nababaliw daw ang pilipinas kasi marami supporters si leni na aquino raw hahhaha,2022-05-07 23:51:05,0,negative,
"bakit d diniritso sa authoridad diba o kya sa media para maimbestigahan.. hay naku lahat pong politiko kahit sino, nagbibigay ng pera. do not tell me, c leni, pacquiao,isko atbp di ngbibigay.. storyahe.. lhat yan sila. kya hwag msgmalinis.. naku..",2022-05-07 23:51:04,0,negative,
"woke up crying, sa panaginip ko sunisigaw tayo ng lenikiko. sobrang nakakakaba itong election na 'to.",2022-05-07 23:50:56,1,negative,
you think the gray outline is good as well on the darker color?,2022-05-07 23:50:44,0,neutral,
exit polls will be conducted by msms and try to establish a winning trend for leni. let us all be vigilant.,2022-05-07 23:50:30,0,negative,
"as a kpop stan, mamimiss ko ang era na ito! filo kpop stans ang laging nag babardagulan pero first time in history nagkaisa tayo para ipakita sa mga pilipino na si leni robredo ang kapatdapat mamumo dito sa pinas",2022-05-07 23:50:26,4,positive,
"naiiyak ako early in the morning haha totoo ang election anxiety, pero i am feeling hopeful. leni is the leader we all deserve and aspire to be. sana lang talaga, pilipinas, wag na natin palampasin",2022-05-07 23:50:19,0,positive,
sino nga ulit sa mga anak ni leni yung sinubukang agawin yung valedictorian dun sa totoong valedictorian?,2022-05-07 23:50:10,0,negative,
"namatay siya habang president siya then leni would be the new president because she is the vp of the country. wah gago grabe super iconic pala non if ever nangyari, like women lead the country",2022-05-07 23:50:09,0,negative,
"tas gagi he confessed that he was privileged enough to not register to vote before. tas it is his first time ngayon. he only registered because leni is once in a generation candidate, and he did not want to waste his right to vote for her.",2022-05-07 23:50:03,1,positive,
pag nanalo si leni mag aaral na ko promise hahahaha,2022-05-07 23:50:00,10,positive,
god bless your mom and her three daughters and godbless all the filipino people who thirst for a good governance and godbless the philippines to have our rightful leaders. lord jesus we pray that you bless leni robredo and kiko pangilinan to be our next president and vice pres.,2022-05-07 23:49:59,0,positive,
"makapanlimbawt nga sila wala na ba tay apil? hahahaha gyud ang dako na percentage na makapadaog nila leni and kiko. pllss, lord. mayta gyud.",2022-05-07 23:49:58,1,neutral,
minsan lang natin makikita ang isang pinunong katulad ni vp leni robredo. huwag sana natin sayangin ang kaisa isang pagkakataon para umangat ang bansa at ang mga mamamayan nito.,2022-05-07 23:49:55,1,positive,
hahahah alam mo kaung mga supporters ni leni ang sumisira sa knyang imahe and also sya din pala kasi the way she act the way she lied halata na. vote your own choice dont dictate others😂,2022-05-07 23:49:30,0,negative,
"super saya ko talaga, hindi ko sila pinilit pero kusa na lang silang dumating sa final decision na maging kakampink t__t from ping and isko to leni to ping and isko again, pero end game na talaga nila si leni even months before may",2022-05-07 23:49:28,0,positive,
hahahahaha funny jud kaayo mag post ug antileni tapos kung e call out ignan dayon tag we respect your opinion so pls respect ours dafuq?? mao na basta mu botar ug adik sa cocaine hahahahah,2022-05-07 23:49:22,18,negative,
"character na naman pala sa speech ng ibang candidates si maam leni last night, last day to campaign daw kaya huling hirit ng paninira. hays! pilipinasispink",2022-05-07 23:49:18,2,negative,
let leni lead. i will vote you as my president! second choice is lacson!,2022-05-07 23:49:14,0,positive,
not this pabigat na pinsan calling leni as lugaw and bb pero hindi man lang nakapagtapos ng high school kasi bulakbol at tamad magaral.,2022-05-07 23:49:11,2,negative,
"pag nanalo si leni, ttbe na to",2022-05-07 23:49:04,10,positive,
"happy mother's day mama leni, mamimiss namin ang pangampanya. love u",2022-05-07 23:49:02,0,positive,
kapal naman ng mukha nyang gamitin ang duterte na surname tapos ipagsigawan na leni kiko sya. 😂😂,2022-05-07 23:48:59,0,negative,
sa lahat ng artistang dumalo kagabe kay vp leni ang na star struck lang ako kay miss u catriona gray at anne curtis sobrang gandaa pota!!,2022-05-07 23:48:56,11,positive,
tama si isko. at parehong wakang akam si leni pati na ren si bbm sa buhay ng mga mahihirap. si isko ang iboto naten!! no no to red.!! no to pinks!!,2022-05-07 23:48:52,6,negative,
not really a vocal person during elections as to who i support or who will i vote for..but i am proud to say that i am a kakampink for leni. letlenilead2022,2022-05-07 23:48:19,1,positive,
leni may the 9th be with you!mawalan na pagod ko as abunado volunteers!,2022-05-07 23:48:08,1,positive,
"nung si manny nag rally sa tacloban yung ka'isaisang poster ni leni sa rtr plaza di tinanggal, pero nung ikaw nag rally tinanggal niyo, kaya ka nauungusan kasi ang trapo mo.",2022-05-07 23:48:07,236,negative,
good morning sainyo guyzz!! at sa mga dumalo kagabi sa miting de avance ni president leni sana safe kaung nka uwi,2022-05-07 23:47:59,0,positive,
naka post sa fb l. noon rally sa laguna e may picture silang maganak kay sen kiko at vp leni. i post ko sana kaso lang nahiya nmn ako dahil wala akong permiso para dito. kahit naka post sa fb accounts ng cousin ko.,2022-05-07 23:47:56,0,neutral,
"luh tatlong beses na nga nagparecount, tas lumamang pa si leni lol mga mind conditioning nila",2022-05-07 23:47:54,1,negative,
this is it happy mothers day vp leni sarahgeronimo,2022-05-07 23:47:47,0,positive,
gd morning to kakampinks..guys aga nyo nmang magpaiyak guys..pero ok lng ..alam nman ntin na ipapanalo ntin to..see u on may 9 mga kakampinks ..god bless..madam leni at sir kiko..frm angeles city,2022-05-07 23:47:45,0,positive,
my papa and mama making kwento sa mga dumadaang kapitbahay na kung pwede si madam leni ang iboto at kung bakit dapat siya lt 3 :((,2022-05-07 23:47:44,4,negative,m
"luhh! kuhang kuha mo nga yung nanay mong boplaks, ano tingin nyo kay leni engkantada nasa mundo ng majika jusq bakit ba ganyan mga pagiisip nila!!",2022-05-07 23:47:40,0,negative,
"as the campaign period ends, i want to express my utmost gratitude and respect to all the volunteers of rpc especially the youth for leni nueva vizcaya. grabe kayo ! hindi man ako nakasama sa h2h campaigns, proud naman akong nariyan kayo para tumindig. so kelan tayo..",2022-05-07 23:47:31,2,positive,
"wala kaso naipanalo si leni, ano ekonomiya ang napalago ni leni?! mlulugi pinas dhl alm nya pgcompute ay 4 x 40 1600! gusto lumaban s pgka president pra mghiganti s mga marcos..so wlng pkialam s pgsisilbi..4 x 40 1600! 4 x 40 1600!, 4 x 40 1600!",2022-05-07 23:47:29,0,negative,
"i tore down a duterte streamer that someone put up using our wall back in 2016. haha. this time, improud to say that i dont have to do that, my neighborhood is not fake news town. leni ang nangingibabaw dito",2022-05-07 23:47:28,3,negative,
happy mother's day until tomorrow!! manalo tayo madam leni robredo!!,2022-05-07 23:47:23,36,positive,
"habang nasa elevator pababa galing sa unit ko, may nakasabay ako na 2 galing chilltop boy bbm ka na? girl kahit hindi tumakbo si vp leni, hindi ko sya boboto, kahit di nalang ako bumoto kung sya lang din kahit lasing si ate, alam ko sino dapat iboto berigud",2022-05-07 23:47:17,1,positive,
tama ung isang vlogger ni isko. 8 months is not enough to negate all the issues thrown at vp leni. dds and lbm vloggers did a very good demolition job on leni. sad,2022-05-07 23:47:17,1,negative,
halin sa pagtulog ko asta pagbugtaw ko gahibi ko takon ya. hayy. everyone is uniting for lenikiko.,2022-05-07 23:47:15,1,neutral,
mga naging iyakin for lenikiko,2022-05-07 23:47:11,1,positive,
sayang ng boto ko kay vp leni bukas hindi ako mkakauwing bicol,2022-05-07 23:47:07,0,negative,
what if i come out to my family if ma'am leni won hmm,2022-05-07 23:47:04,0,neutral,
grabe yung anxiety na binibigay nitong election 2022. hindi ako ganito dati. thank you vp leni sa paggising sa mga pilipino. ilaban natin to para sa pilipino at sa bansng pilipinas!,2022-05-07 23:47:03,4,negative,
"i have my own stories to tell too.. since the first time i voted in 1992, there never was anything like this movement of support, people's initiative and camaraderie.. and this is the only time that i came out and stood with vp leni..and good thing, my family stood with me.",2022-05-07 23:46:59,949,positive,
happy mothers day to leni robredo! ipana7ona10parasalahat,2022-05-07 23:46:59,0,positive,
"yung mga blengblong supporters ang mga sinasabi puro kabataan langyung iba di raw botante daw supporters ni leni, balikan ko to pag tinalo sila ng sinasabi nilang kabataan lang",2022-05-07 23:46:57,1,negative,
"i am super excited to vote tomorrow!! and i am very proud to say that my first vote will be for leni and kiko!! the future is female, i am claiming it! any tips for the first time voters? god bless, pilipinas!! lenikikoalltheway2022 kulayrosasangpilipinas",2022-05-07 23:46:57,3,positive,
"yesterday, i left my boller sa cashier saying these words ""kuya iwan ko to baka maisipan mo mag lenikiko ha"" 😭",2022-05-07 23:46:39,0,neutral,
i am literally crying right now..lenikiko for the win..,2022-05-07 23:46:39,4,neutral,
my dad will vote for leni!! si bbm gusto nyang iboto pero para daw sa akin si leni daw iboboto nya!! nakakahiya naman daw kasi sakin. 😂 huhuhu. my heart is so happy!! promise daw si leni iboboto nya!! ipana7ona10toparasalahat,2022-05-07 23:46:32,5,positive,
"miting de avance nya, puro leni ang topic. mayor namin trying hard maging relevant. super turn off.",2022-05-07 23:46:30,1,negative,
si leni yata! sobrang hirap na kasi siya sa pagsulat ng concession speech nya! 😂😂,2022-05-07 23:46:17,0,negative,
"she just said ""leni bobo"" ""leni lutang"" just now but ok lol happy mothers day",2022-05-07 23:46:10,0,negative,
"yung pari sa church kanina straight up told the ppl to vote for leni. he started the homily with ""do not vote for theives"". gagee yan fatherr i love you naa i respect your bravery",2022-05-07 23:46:09,3,positive,
"it is so funny how when i changed my dp to lenikiko last wed, my angkan started to change their dps as well to 88m. lmao",2022-05-07 23:46:00,0,negative,
leni robredo the 17th president of the philippines cutie,2022-05-07 23:45:51,1,positive,
mga hindi paboritong anak for leni!! ipanalona10parasalahat,2022-05-07 23:45:41,6,positive,
samani papa damayon jd ako mama para mag leni na hahahh,2022-05-07 23:45:38,0,neutral,
"y'all be like i respect you po but y'all cannot accept they are not voting for leni instead they are voting other president, the rest bullying, mocking and saying insensitive things happened.",2022-05-07 23:45:37,0,neutral,
gma news and its parent company are pro leni kiko.,2022-05-07 23:45:35,0,negative,
"basta ang alam ko lang 'pag nanalo si vp leni at sen kiko, itong volunteerism na nakikita natin sa mga rally ngayon eh mas lalala pa, ngayon tayo makakakita nang isang pamumuno na may malaking suporta ng mga tao na nadala ng pagasa at hindi ng takot pilipinasispink",2022-05-07 23:45:35,5,positive,
mga kulang sa tulog for lenikiko,2022-05-07 23:45:34,1,positive,
"only seeing tweets of lenis mda today and grabe lord, please let it be lenikiko",2022-05-07 23:45:31,2,positive,
"tumpak,, ngayon mulang ba nalaman yan, apply your self madam leni. 😂😂",2022-05-07 23:45:30,0,negative,
ang sama ng loob ko ha di ko na nga nakita si vp leni tapos di pa umakyat sa stage donbelle kahit andon pala sila 😭 bat kayo wala sa program hmp,2022-05-07 23:45:27,0,negative,
"lord pls, i dont want leni to be ""the best pres we never had"" pt. 2. she is our country's hope",2022-05-07 23:45:04,4,negative,
"tapos si leni nyo gusto pa i put on hold ang pag modernize sa transportation eh puedi naman palang gawin ng sabay, isipin nyo yan..",2022-05-07 23:45:04,0,negative,
"bbm or leni pink or red or green this is very very wrong sna inisip ang kalusugan ng patient welcome infection, sepsis",2022-05-07 23:44:53,0,negative,
nakauwi na ba ang lahat?? mga matutulog palang for leni!! haha pilipinasispink ipana7ona10parasalahat,2022-05-07 23:44:51,3,positive,
mahal na namin president leni for the first time in my entire life that i am so concerned about this election.ang buong sambayanan ay umaasa na ikaw ang tamang mamumuno sa ating bansa.,2022-05-07 23:44:48,1,negative,
wag ka sanang maging leni huhuhuhu,2022-05-07 23:44:41,1,negative,
"happy mother's day sa mama, papa, ate, kuya, tita, tito, lola, lolo, at kay madam leni",2022-05-07 23:44:39,0,positive,
totoo yan. dapat sana naipakita yan sa mga event ni iskoterte. kasi hanggang ngayon walang maibato si iskoterte against vp leni kundi yung labanan daw ng pula at dilaw. 😂,2022-05-07 23:44:00,6,negative,
pero yung batang bulag na nag post sa fb na supporter ni bbm. ano sinabi ng mga kakampink ang tinde ah diko kayang ulitin buti nalang nakita ng nanay. at nakapag salita. pero yung isang batang nag pakamatay dahil bi nully ng teacher na leni supporter pano po ang justice nya.,2022-05-07 23:43:56,1,negative,
"pinaguusapan ng pamilya ko na ako lang leni supporter sa pamilya. sabi ng kuya ko it is bc of the colleges daw. they taught us na masasama ang mga marcos ""kahit di naman"" daw naging kasalanan pa talaga ng mga colleges ang pagturo satin ng katotohanan",2022-05-07 23:43:47,2,neutral,
"masarap sumakay sa libre ano, naisip nyo kaya yan? na pag si leni mananalo balik tirik ang mrt 😂😂",2022-05-07 23:43:32,1,neutral,
sabi nung solid bbm na officemate ko na hindi naman pala botante na puros mga kabataan naman daw yung pumupunta sa mga rally ni leni. me alam mo bang lapgas kalahati ng registered voters ngayon ay kabataan. yung energy sa rallies dadalhin yan sa may 9. so,2022-05-07 23:43:28,8,negative,
gusto ko din mag post ng raised by a strong woman like leni since mothers day ngayon kaso bbm nanay ko.,2022-05-07 23:43:26,1,negative,
happy birthday sir ! salamat sa pagtulong kay vp leni,2022-05-07 23:43:23,0,positive,
"if leni loses, who would be more hated, ping or isko?",2022-05-07 23:43:20,0,negative,
"for me, this confirms what i suspected all along that maybe he ran para lang pang bawas sa votes ni leni. bec why was not he criticizing the supposed frontrunner? does not make sense at all.",2022-05-07 23:43:11,72,negative,
"as everybody knows, i created this acct to support lenikiko since i could not support them using my real acct because i am a national government employee. isang karangalan ang makasama po kayo sa laban na ito 😭 pilipinasispink",2022-05-07 23:43:11,64,negative,
mga tumakas at nahuli ng magulang for leni lt 3,2022-05-07 23:43:09,1,negative,
saw a video on tiktok that duterte endorsed leni in a speech,2022-05-07 23:43:03,0,neutral ,
got stuck in makati last night but it was fine kasi its for leni. ipana7ona10toparasalahat,2022-05-07 23:42:57,1,positive,
i am so ready to castigate the administration of soon to be pres. leni and soon to be v.p. kiko,2022-05-07 23:42:57,0,negative,
"bumoto ng tama para hindi mainvalidate, look what happened ng nirecount votes nila vp leni in 2016, may votes sya na hindi na count. 16k din yon. kaya ingat and be careful so that your vote will be counted.",2022-05-07 23:42:53,4,negative,
"yung mga hakot at bayarang yaan ang magluluklok kung sakali ng mali na namang president. hay, kawawang pilipinas kaya please, leni kiko tayo!",2022-05-07 23:42:48,0,negative,
videos of lenikiko's makati miting de avance is giving me goosebump makatiispink pilipinasispink lenikiko2022,2022-05-07 23:42:41,0,positive,
maraming salamat po 😭😭,2022-05-07 23:42:31,0,positive,
pagmanalo si leni iiyak talaga ako.. bbm tangina moo,2022-05-07 23:42:27,0,negative,
grabe yung hagulgol namin kagabi lalo na nung pinasalamatan ni vp leni lahat ng nag h2h. 😭,2022-05-07 23:42:11,1,positive,
"i just got home, good morning everyone i am so proud of my self, and so happy to be part of 950,00 people last night, last campaign rally of mami leni i had so so much fun😭 this is it pilipinas let's vote wisely and ipanalona10to letlenilead lenikiko2022",2022-05-07 23:41:58,2,positive,
kahit di kayo matulog mananalo si leni,2022-05-07 23:41:55,4,neutral,
"ay ang lakas mang provoke ni ateng bbm to leni? to isko ah. tapos pag nag comment ako sa post niya, gagalet yung asawa tapos didelete yung post? para sa kanya, away na yung pagengage sa discussion about candidates? last ko na to amp tama na busog na siya sa clout.",2022-05-07 23:41:54,14,negative,
potangina pag d nanalo lenikiko iiyak ako ng 6years,2022-05-07 23:41:50,0,negative,
"mag loren legarda challenge nalang si mama, mga may mommy issue for madam leni",2022-05-07 23:41:48,1,negative,
"yess, hubaderos for leni",2022-05-07 23:41:47,0,negative,
"good morning ulet, leni kiko !!",2022-05-07 23:41:46,1,positive,
