text,timestamp,like_count,sentiment,vaderSentiment,naiveBayesSentiment,svmSentiment,logisticRegressionSentiment
congrats our soon pres philippines is blessed to have u god bless you,2021-12-07 00:00:00,,,positive,pos,pos,neut
very proud of you our 2022 president..brav e and intelligent .you nailed it..,2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations to our pbbm,very knowledgeable and answered questions with sincerity proud of you sir.may god bless you more wisdom and strenght in leading our country.",2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations , we're so proud of you! stay safe and healthy. god bless you and your family. thank you for inspiring us and you're great message of unity .",2021-12-07 00:00:00,,,positive,pos,pos,pos
"congrats sir,,wr proud of u,,ur the nxt president,,our vote is for ur team.only..stay safe always,,god bless..",2021-12-07 00:00:00,,,positive,pos,pos,pos
"i am so proud of u mr, bbm, u did a great job during the smni pres debate, god bless u po and congrats",2021-12-07 00:00:00,,,positive,pos,pos,pos
gie joy galing nya insan..amang ama nya pati boses. congrats bbm,2021-12-07 00:00:00,,,positive,neut,neut,neut
"panela lina oo nga cuz, tinapos ko tlga ang haba but it worth, i learned a lot too",2021-12-07 00:00:00,,,positive,neut,neut,neut
gie joy yan ang maganda cuz on the spot ang tanong..di yun ibibigay ang question in advance. dyan magkakaalam kung solido ang sagot ng bawat kandidato.,2021-12-07 00:00:00,,,positive,pos,neut,neut
"we are proud of our 17th president. very knowledgeable, articulate and confident. god bless and protect you and your family always bbm sara",2021-12-07 00:00:00,,,positive,pos,pos,pos
michaela tabing wong amen so be it in jesus name,2021-12-07 00:00:00,,,neutral,pos,neut,neut
michaela tabing wong oxford kc talagang genius like his father.,2021-12-07 00:00:00,,,positive,neut,neut,neut
michaela tabing wong solid,2021-12-07 00:00:00,,,positive,neut,neut,neut
michaela tabing wong parang gusto nilang gawin na historical people ng edsa at martial law si bongbong marcos bakit kaya eh hindi naman siya yun kundi tatay naman niya na si ferdinand marcos yun parang kwentong anak naman yata yan eh did dapat ang kwento ay anak ng edsa at martial law historical story in the name of the father and son,2021-12-07 00:00:00,,,neutral,neg,neut,neut
michaela tabing wong in cabalastic no.17 is equal to 8 and no.8 is the successful number in any endavore,2021-12-07 00:00:00,,,positive,neut,neut,neut
"started at 12 midnight in nz, ended just after 4am, had only 2 hours of sleep before going to work but it is totally worth it. congrats to the four participants, salute to you all and to smni for a job well done",2021-12-07 00:00:00,,,positive,neut,neut,neut
"congratulations sir, job well done your answer enlighten those who still undecided.",2021-12-07 00:00:00,,,positive,neut,neut,neut
"kudos to the 4 of you , sir !",2021-12-07 00:00:00,,,positive,neut,neut,neut
congrats po in advance. god bless,2021-12-07 00:00:00,,,positive,pos,pos,pos
so brilliant pops! god bless you,2021-12-07 00:00:00,,,positive,pos,pos,pos
well prepared and fitted to become our next president. i watched it yesterday i am so satisfy on your answers to all political issues. you have a brilliant mind senator. feels like thesis defense when prof. clarita asking you a questions but you nailed it. god bless po.,2021-12-07 00:00:00,,,positive,pos,pos,neut
chris mendoza di nag pakabog sa mukhang terror na profesor.ako ang kinabahan nang makita ko ang aura ni prof.clarita carlos.piniga talaga ni prof.ang next presidentgood job bbm,2021-12-07 00:00:00,,,negative,neut,neut,neut
salute to you sir. your the most qualified for the position!god bless and keep safe always,2021-12-07 00:00:00,,,positive,pos,pos,neut
yes a brilliant answers from out next president bbm. he got his intelligence from his father a proud dad. god bless bbm and the whole marcos families and relatives,2021-12-07 00:00:00,,,positive,pos,pos,pos
"jessamyn adrian yes super matalino tlga c bbm ,my humble heart sa lahat",2021-12-07 00:00:00,,,positive,neut,neut,neut
jessamyn adrian never straight to the point ang mga answers??,2021-12-07 00:00:00,,,negative,pos,neut,neut
remz lyn palacsa caling,2021-12-07 00:00:00,,,neutral,neut,neut,neut
leah lyn jose updated na din sila,2021-12-07 00:00:00,,,neutral,neut,neut,neut
congratulations to be soon president stay safe and god bless!,2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations po, so proud of you. we love you bbm! god bless",2021-12-07 00:00:00,,,positive,pos,pos,pos
congrats sir bbm.. im proud of you.. your the best .. we love you and god bless you always,2021-12-07 00:00:00,,,positive,pos,pos,pos
"proud to be a filipino because of you sir bbm, you really are the destined to be the next pres.of this country. kudos to the 4 hours debate and you answered all the question intelectually, great country needs a great leader like you, with vision, goals and love to the entire philippines. mabuhay po kayo, bbmsara202. uniteam lang",2021-12-07 00:00:00,,,positive,pos,pos,pos
buti nalang naka habol ang mga absent,2021-12-07 00:00:00,,,neutral,neut,neut,neut
ginisang sabaw fyi ndi ako leni supporter. ur barking at d wrong tree po. im refering to leni s comment ko. sila lang n ni pacman ang kamoteng sumagot kpag wlng advance questions at live interview.,2021-12-07 00:00:00,,,negative,neg,neut,neut
"ginisang sabaw pwede naman dumalo, prof.c, castro question? leni,isko,manny ..mam may we go out. mam can i go to cr",2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan kala ko ba sabi ni pakyaw harap harapan sagutan 😂😂 pero diko alam excited ako pag si lugaw anjan e mapupuno nanaman ng joke lalaban pa more,2021-12-07 00:00:00,,,positive,neut,neut,neut
joshua john flores orongan hahaha akala ba natin conflict schedules but why did not lost connections.,2021-12-07 00:00:00,,,positive,neut,neut,neut
jina saberola maka ihi yong 4 pag uma attend. at mag say excuse mam mag jijingle ho.,2021-12-07 00:00:00,,,positive,neut,neut,neut
ja red na puro babae😂😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan carry on na cla ni bbm,2021-12-07 00:00:00,,,neutral,neut,neut,neut
michael salazar gonzaga magkkatabing nakatago,2021-12-07 00:00:00,,,neutral,neut,neut,neut
nangongopya mga yan! hahahah,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan 😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan mga sila,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan nag online class po sila apat.,2021-12-07 00:00:00,,,negative,pos,neut,neut
"joshua john flores orongan naghahanap at malamng kumukuha ng idea sa mga panelists at guests, ahahaha.. wala kasi sila maisasagot pag anjan sila, mga kamote.",2021-12-07 00:00:00,,,neutral,neg,neut,neut
"joshua john flores orongan pinasalamatan pa kayong apat ng future pangulo, heheh",2021-12-07 00:00:00,,,neutral,neut,neut,neut
sa susunod na debate iinom aq png maintenance ng lola qoh😂😂,2021-12-07 00:00:00,,,neutral,neg,neut,neut
"duwag talaga ung apat gusto nila sa gma, kbp, ccn, at comelec debate lng cla pupunta.. buti p c bbm sa smni lng pupunta kc inindorso cxa ni quibuloy at hindi pa bias wala cla kinikilinga peo pwede magindorso.. bbm lng kaya humarap sa lahat wala iniiwasan walang bias sa kaya.. unity nga db..",2021-12-07 00:00:00,,,negative,neg,neut,neut
joshua john flores orongan sabi ko na nga absent sila pero present sa live streaming hahaha cgurado covopyahin ang mga sagot kung sakali i question sa kanila un,2021-12-07 00:00:00,,,positive,neg,neut,neut
nanood lng sila..,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan nagtatake note sila kase online class nila yan.para sa sunod na quiz may alam sila isasagot.peace!,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"michael salazar gonzaga yon nga eh,hahaha,tpos sv may mga appointment na hahaha,ano kya feeling nila habng nanonood",2021-12-07 00:00:00,,,positive,neut,neut,neut
sakalam lang ang umattend. nanunuod lang ang mga duwag,2021-12-07 00:00:00,,,neutral,neut,neut,neut
joshua john flores orongan naka modular classes sila kay professor!!,2021-12-07 00:00:00,,,neutral,neut,neut,neut
online class yern??,2021-12-07 00:00:00,,,neutral,neut,neut,neut
alhissa jane magbuhos gusto pa cute na questions ayaw nya sa difficult,2023-12-07 00:00:00,,,positive,neut,neut,neut
we are so proud of you bbm!! i salute! god bless,2021-12-07 00:00:00,,,positive,pos,pos,pos
"""in difficult moment hindi sya nag papakita"" prof. clarita carlos",2021-12-07 00:00:00,,,negative,neut,neut,neut
ghie andres bagacina si nanay leni.yun.hindi umattend kasi baka takot kay prof clarita,2021-12-07 00:00:00,,,neutral,neut,neut,neut
nag papa picture lang kasi,2021-12-07 00:00:00,,,negative,neut,neut,neut
popoy son roxas https m.facebook.com story.php?story_ fbid5388775761 151929id100 0586765074,2021-12-07 00:00:00,,,neutral,neut,neut,neut
jessica paticaoen cabilan hwg po kaung ganyan! aattend nmn po cla kaso dun s scripted n debate n ung tanong eh alam n pra makasagot agad magmukhang matalino at wlang ganyang guests n bawat sagot s tanong eh my follow up question agad😂 jan mo makikita kng cno ang makakapasa s recitation at s huli s defense😂,2021-12-07 00:00:00,,,negative,neg,neut,neut
ita patrending natin guys 😂😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"popoy son roxas yes,, cno kya and di nag pakita in difficult moment,,bakit nga ba absent sya,,",2021-12-07 00:00:00,,,negative,neut,neut,neut
tpng jstn tong hashtag nato dapat ipatrending s twitter hahaha,2021-12-07 00:00:00,,,positive,neut,neut,neut
"popoy son roxas nag luto sya ng lugaw para daw sa caravan nila ,,",2021-12-07 00:00:00,,,negative,neg,neut,neut
"popoy son roxas malabo kasi mata mo! try mo sa optical clinic, baka masolusyunan ng eye glass mata mo😂",2021-12-07 00:00:00,,,neutral,neut,neut,neut
https burito.floro.5 videos 464981251226325 ?appfbl hindi tlga sya pede sa live,2021-09-23 09:43:00,,,neutral,pos,neut,neut
melvin magallanes di kasi yon yong favorite prof nya at papayag sa utak nya.😂😂,2021-12-07 00:00:00,,,positive,neut,neut,neut
popoy son roxas yan sila oh,2021-12-07 00:00:00,,,neutral,neut,neut,neut
popoy son roxas kasi hindi pinapa kita sa media.. ikaw naman nag pa paniwala sa nanay mo maritess hahahaha,2021-12-07 00:00:00,,,negative,neg,neut,neut
nice one popoy! i love that.,2021-12-07 00:00:00,,,positive,pos,pos,neut
"alex dls kung isa ka sa tumatakbo sa pagkapangulo, dadalo ka pa rin ba kahit alam mong iniindurso na nila ang isa sa kalaban mo?",2021-12-07 00:00:00,,,neutral,neg,neut,neut
alam mo katwiran mo dika pede kahit pang tanod ng brgy.. think?? dina need explain sayo just think?,2021-12-07 00:00:00,,,neutral,neut,neut,neut
popoy son roxas bka di kayanin ang tanong..magand a tanong tumpak ang sagot..,2021-12-07 00:00:00,,,neutral,neut,neut,neut
popoy son roxas parihas ng comment..ahajaj may source??i mean gc..ahahaha,2021-12-07 00:00:00,,,neutral,neut,neut,neut
na wagdu um attend sa debate kasi nga.. tapos wla pang advance question so paano na..?? si prof. clarita na nagsabi nyan ahh..,2021-12-07 00:00:00,,,neutral,neg,neut,neut
arje magtoto mejos bobo spotted😂😂 si prof. clarita nag sabi kaya nga may _prof.clarita carlos issue bobo nmn😂😂,2021-12-07 00:00:00,,,negative,neut,neut,neut
popoy son roxas marites hahahaha,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"popoy son roxas sino, si leni? haha. mahirap yung tanong ng prof pag di alam talaga ng sasagot but agree with marcos ans abella sa sagot",2021-12-07 00:00:00,,,positive,neut,neut,neut
popoy son roxas wala daw po kcng leak ng mga itatanong..,2021-12-07 00:00:00,,,negative,neg,neut,neut
tpng jstn,2021-12-07 00:00:00,,,neutral,neut,neut,neut
popoy son roxas kung mka asta parang ang galing sumagot ng manok mong pink. sa isang presidential interview nga kahit pang elementary yong interview di nga mkasagot. di naman kagalingan manok mo sa qna. buti pa si juliana miss qna. lol! peace,2021-12-07 00:00:00,,,positive,neg,neut,neut
"congratulations my pbbm! so proud of you sir, you nailed it! always here praying for you and our next vp mayor inday sara duterte! god bless you both. pilipinas",2021-12-07 00:00:00,,,positive,pos,pos,neut
""" in the difficult questions, hindi ako nagpapakita"" mama pink",2021-12-07 00:00:00,,,negative,pos,neut,neut
arjay humarang talino mo kuya tumpak na tumpak😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
arjay humarang pero nauna daw sya field,2021-12-07 00:00:00,,,neutral,neut,neut,neut
arjay humarang 😂😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"james fernandez oo madam simbahan yan, nakita kolang din sa ibang pages kaya screen shot ko ,, nasura din ako nung makita ko yan, bilang isang myembro din ng katoliko, nakakadismaya na ginagawa nilang pagkadesperada ,, pati simbahan ginagamit na nila sa sariling interest..",2021-12-07 00:00:00,,,neutral,neg,neut,neut
arjay humarang kailangan daw ng advanced questions,2021-12-07 00:00:00,,,positive,neut,neut,neut
"urot zinger subukan lang ng mga rosas na yan kung hindi sila mangalanta ,malaglag petals nila ,kaya pahinga ako😂😂",2021-12-07 00:00:00,,,neutral,neg,neut,neut
christine gomez https 1816696045 posts 1021643248464412 8?appfbl,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"arjay humarang pero duwag sa kbp, cnn at kmjs? papa pula",2021-12-07 00:00:00,,,neutral,neg,neut,neut
arjay humarang yung simpleng tanong ngang anong comfort food walang diretsahang matinong sagot marami pa cute cute paikot ikot eto pa kaya eh its very difficult,2021-12-07 00:00:00,,,positive,pos,neut,neut
"arjay humarang lahat ng sinasabi nya, kinakain nya. nakakahiya , inconsistent and a great liar.",2021-12-07 00:00:00,,,positive,neg,neut,neut
"edna velasco nakakatawa sila di kaya si prof. carlos, afraid ba?",2021-12-07 00:00:00,,,neutral,neut,neut,neut
arjay humarang sir ma nose bleed po sila nd pd po don ang kodigo haha,2021-12-07 00:00:00,,,negative,neut,neut,neut
arjay humarang well said..,2021-12-07 00:00:00,,,positive,neut,neut,neut
arjay humarang not scripted kasi kaya absent,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"mikaela tue alam mo ang tao minsan mapapangiwi yan lalo n kung mataas ng blood pressure, maybe merong health condition yan pero ok na yon na gagamot pero yung lutang ka di mo alam pinagsasabi mo much better less talk less mistake",2021-12-07 00:00:00,,,positive,neut,neut,neut
arjay humarang tama hahahha,2021-12-07 00:00:00,,,neutral,neut,neut,neut
arjay humarang mahina nilalang hahaha nduweg na hahaha,2021-12-07 00:00:00,,,positive,neut,neut,neut
mikaela tue baka mas tanga ka negative nga sya sa drug test eh kaya kaw mag analyze bonak magpa drug test ka din,2021-12-07 00:00:00,,,negative,neg,neut,neut
"sa pagnakaw sa kaban ng bayan, mabilis ako dyan blengbong",2021-12-07 00:00:00,,,neutral,neg,neut,neut
https regina.aspiras.9 0videos 1223828868357092,2021-12-07 00:00:00,,,neutral,neut,neut,neut
mikaela tue ohh c'mon ako mahina ang sense baka ikaw kumakain ng tae siguro dahil utak tae hindi ako bobang tulad mo.. minsan talaga may mga taong kapatol patol tulad mo.. boba eto tamang spelling ng analyze.. ikaw ang nakakatawa,2021-12-07 00:00:00,,,neutral,neg,neut,neut
mikaela tue what the heck? sayang pala oras mo pero nagreply ka pa din saking bugok ka.. kaw yung bulok na tae na nangangatwiran pa at ikaw yung nagpapalusot. analize pa more hehe talino mo.. kaw ang utak talangka at walang sense na mahilig manghusga kawawa ka naman asar talo,2021-12-07 00:00:00,,,neutral,neg,neut,neut
we are proud ilocanos proud to have our future presidentmay our almighty god protect and bless you sir and so with your running mate mayor inday sara god bless you botht,2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations sir,bbm you're the best be safe always and god bless!",2021-12-07 00:00:00,,,positive,pos,pos,neut
you are such a brilliant my president. you just proved to the people how great nation we will become. iloveyou mr.president.,2021-12-07 00:00:00,,,positive,neut,neut,neut
we love you po! please make the philippines great again by the grace of god!,2021-12-07 00:00:00,,,positive,pos,pos,neut
bethel luz i agree po with god's grace and guidance.,2021-12-07 00:00:00,,,positive,pos,neut,neut
bethel luz,2021-12-07 00:00:00,,,neutral,neut,neut,neut
proud of you bbm you have shown them intelligence and true characters and sentiments for the country mabuhay ka,2021-12-07 00:00:00,,,positive,neut,pos,neut
let us give this man a chance and who knows we might end up with a surprise! god bless bbm,2021-12-07 00:00:00,,,positive,pos,pos,neut
congratulation my beloved country the phil.! because of you sir bbm ! you are sent by god to lead our nation. may god bless you always and keep you healthy! more power sir!,2021-12-07 00:00:00,,,positive,pos,pos,neut
hello po ang galing nyo po napangiti mo si prof carlos hehe and the rest na aspirants n dumalo galing nyo din po.,2021-12-07 00:00:00,,,negative,neg,neut,neut
congrats to our next pres.were so proud of you .thank you for the knowlegeable answer mabuhay bbmsara.tandem god bless us always,2021-12-07 00:00:00,,,positive,pos,pos,pos
very brilliant like his father!,2021-12-07 00:00:00,,,positive,neut,neut,neut
god bless sir bbm you're the best and your running mate mayor sara duterte mabuhay,2021-12-07 00:00:00,,,positive,neut,neut,neut
"im so proud and happy of you, our next president bongbong marcos. youre very intelligent, smart, full of confidence, and very articulate. excellent!!",2021-12-07 00:00:00,,,positive,pos,pos,pos
so proud of you sir very well done po,2021-12-07 00:00:00,,,positive,pos,neut,neut
god bless you always presedent..keep safe and praying for your goodluck,2021-12-07 00:00:00,,,positive,pos,pos,neut
"we proud, hoping and praying one day you will read our comments. apostolic catholic church international ministries support you in your candidacy our future president ferdinand ""bong bong"" marcos and sara "" inday "" duterte as vice president. stay safe and healthy bbm and inday sara. god bless maharlikan people, god bless philippines",2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations smni, and of course the best of them all bbm with his full display of respect to the philippines sovereignty and filipino dignity. watching from ontario, canada.",2021-12-07 00:00:00,,,positive,neut,neut,neut
"congrats po,you did a really great job po!😭😭",2021-12-07 00:00:00,,,positive,pos,neut,neut
congratulations my president so proud of you!!,2021-12-07 00:00:00,,,positive,pos,pos,pos
your the best sir bbm. for sure you will win the highest position in our country. proud ilokana here.,2021-12-07 00:00:00,,,positive,neut,pos,pos
very dignified looking very precise in his answers bbm,2021-12-07 00:00:00,,,positive,neut,neut,neut
"congrats bbm, panalo na tayo go go go god will guide you and give you knowledge and wisdom. god bless bbm at sara",2021-12-07 00:00:00,,,positive,neut,neut,neut
congratulations po great answers po..proud ilokana from south korea,2021-12-07 00:00:00,,,positive,pos,pos,neut
intellectual questions got intellectual answers from our very soon to be president. kudos to you sir bbm! you did it excellently! god bless keep you safe always. 022 22,2021-12-07 00:00:00,,,positive,pos,neut,neut
"rose alconaba why depending only on your monthly salary? when you can make money online by staying at home or your office without any stress. if you have an email address,a laptop or a smartphone, you can earn huge amount every 48hour depending on your choice without you sending money to anyone, for more information inbox manager click below now. https tanko.musah.5891",2021-12-07 00:00:00,,,positive,neg,neut,neut
rose alconaba ninamnam mo ang mga sinabi at tumugma naman?,2021-12-07 00:00:00,,,neutral,neut,neut,neut
so proud of you our beloved president. no any negative weapon formed against you shall ever prosper for your righteousness is from the lord and every tongue that rises you in judgment you shall condemn. this is the heritage of the lord to you. you are in our prayer always.,2021-12-07 00:00:00,,,negative,pos,neut,neut
proud bbm supporter here! congrats po next president!,2021-12-07 00:00:00,,,positive,neut,pos,neut
so proud of you bbm may god bless you always,2021-12-07 00:00:00,,,positive,pos,pos,pos
"congratulations sir bbm,you're the best stay safe healthy .god bless u always.",2021-12-07 00:00:00,,,positive,pos,pos,neut
jezz aquino anong pinuputok ng butchi mo,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"jezz aquino nakakatawa ka noh sabihin mo yan kay madam sarah cgurado aq putok nguso mo hinde lang butsi puputok sayo ,,",2021-12-07 00:00:00,,,neutral,neut,neut,neut
proud of u mypres.bbm pray for your journey success and protection.god bless and the all uniteam,2021-12-07 00:00:00,,,positive,pos,pos,pos
eun jeong fbshop smni iniendorse ang uniteam. hahahahaha bias eh,2021-12-07 00:00:00,,,negative,neut,neut,neut
mabuhay po kayo sir bbm god bless every time i salute you ..,2021-12-07 00:00:00,,,positive,pos,pos,neut
bbm brilliant congratulation po.your the best.,2021-12-07 00:00:00,,,positive,neg,neut,neut
congrats everyone god bless philippines and our fellow filipinos bbm and sara tandem panalo na,2021-12-07 00:00:00,,,positive,pos,pos,neut
congrats sir bbm we are very proud of you,2021-12-07 00:00:00,,,positive,neut,pos,neut
crowd's favorite well done mr. president! 😍 ang galing!,2021-12-07 00:00:00,,,positive,neut,neut,neut
best of luck my future president.. may the almighty god guide you and protect you,2021-12-07 00:00:00,,,positive,pos,neut,neut
nicely done sir!,2021-12-07 00:00:00,,,positive,neut,neut,neut
congratulations bbm i am so proud of you . you my next president stay safe and god bless solid uniteam bbm tandem,2021-12-07 00:00:00,,,positive,pos,pos,pos
your the best sir god bless,2021-12-07 00:00:00,,,positive,pos,pos,pos
"let this smni and dzrh interviews speak for what the presidentiables could offer to the country. and whoever wins, people should respect the will of the majority.",2021-12-07 00:00:00,,,positive,neut,neut,neut
we are so proud of you. the next president of the philippines. god bless po bbm. solid sara uniteam,2021-12-07 00:00:00,,,positive,pos,pos,pos
