text,timestamp,like_count,vaderSentiment,naiveBayesSentiment,svmSentiment,logisticRegressionSentiment
"Brilliant Brave Man,, God bless My President.✌🏻❤️🇵🇭",2021-12-07 00:00:00,,positive,positive,positive,positive
Zudoarichikito Mekashita Wag ka dito bawal Pink dito HAHAHHA,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Zudoarichikito Mekashita Tanga spotted walang muka na jejemon haha iyak rest in pink,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Congrats sir BBM we are proud of you.God bless u and ur family.,2021-12-07 00:00:00,,positive,positive,positive,positive
Kudos! ❤️💚 You nailed it! 👌👏👏 Keep safe always Sir & Godbless!.. 🥰✌️👊,2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
to our soon Mr. President 🥰 Godbless and keep safe always 🙏🙏🙏 praying for your Goodluck!!!",2021-12-07 00:00:00,,positive,positive,positive,positive
"Kudos to our future president for your brilliant answers! 👏👏👏
We are so proud of you! God bless always.🙏 We love you! ❤️✌🔴",2021-12-07 00:00:00,,positive,positive,positive,positive
"Myra Divinagracia modesty aside ak ko lang nasaan na kaya yung mga nagsasabing duwag si BBM, makapanira sila eh sila naman pala itong #certifiedduwag",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Nitz Ringpis Torrado yaan na po, at least hindi tayo bulag para makita natin kung ano ang totoo at kung sino ang dapat ilukluk. God looks at the heart po, kaya Sya ang bahala sa mga mapanira na yan. 😊",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"Nitz Ringpis Torrado Oo nga grabe,at kaya naduwag eh dhil hnd nila kakayanin ang ganong sitwasyon,dhil May Plataforma na tlga c BBM,eh ung iba,puro pangbebengga lng ang alam at mga pasaring",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Myra Divinagracia OMG!100K MALA BUHANGIN NA BBMSARA SUPPORTERS DUMAGSA LENLEN NAGULAT SA NAKITA 😱
MGA KA BBM SARA SUPPORTERS PA WATCH AND SUBSCRIBE AKING Channel BIG THANKS ✌️👊❤️💚
https://
youtu.be/
8aol_GpLj3k",2021-12-07 00:00:00,,positive,positive,positive,neutral
Myra Divinagracia may point ka dyan. Let’s all pray together na wala na namang dayaan na magaganap sa halalan.,2021-12-07 00:00:00,,positive,positive,positive,positive
"Nitz Ringpis Torrado yes, always praying po. 🙏",2021-12-07 00:00:00,,positive,positive,positive,positive
"Kudos our President Brilliant, smart ideas and point of views for a Better Philippines looking forward with Success in Everything you, with the guidance of our Lord. We love and support you Mahal naming Pangulo ng Pilipinas, God Bless you always",2021-12-07 00:00:00,,positive,positive,positive,positive
BBM is the best ❤️❤️❤️ i salute on you. Good job Sir👏👏👏 your answers goes directly to the questions. God bless you!,2021-12-07 00:00:00,,positive,positive,positive,positive
"Congrats our soon Pres

Philippines is blessed to have u
God bless you",2021-12-07 00:00:00,,positive,positive,positive,positive
Elisa Bucsit Yes to BBM✌✌✌🇵🇭🇵🇭🇵🇭❤❤❤🙏🙏🙏😍😍😍👍👍👍,2021-12-07 00:00:00,,positive,positive,neutral,neutral
"Very proud of you our 2022 President..Brav
e and intelligent .You nailed it....❤❤❤",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
to our PBBM,very knowledgeable and answered questions with sincerity Proud of you Sir.May God bless you more wisdom and strenght in leading our country.",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
, We're so proud of you! stay safe and healthy. God bless you and your family. Thank you for inspiring us and you're great message of Unity ❤.",2021-12-07 00:00:00,,positive,positive,positive,positive
"congrats sir,,wr proud of u,,ur the nxt president,,,our
vote is for ur team.only..stay
safe always,,,God bless...",2021-12-07 00:00:00,,positive,positive,positive,positive
"I'm so proud of u Mr, BBM, u did a great job during the smni pres debate, God bless u po and congrats",2021-12-07 00:00:00,,positive,positive,positive,positive
Gie Joy galing nya insan..amang ama nya pati boses. Congrats BBM✌️🇵🇭✌️,2021-12-07 00:00:00,,positive,positive,positive,positive
"Panela Lina oo nga cuz, tinapos ko tlga Ang haba but it worth, I learned a lot too",2021-12-07 00:00:00,,positive,negative,neutral,neutral
Gie Joy yan ang maganda cuz on the spot ang tanong..di yun ibibigay ang question in advance. Dyan magkakaalam kung solido ang sagot ng bawat kandidato.,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"#LetLeniFaceClar
ita",2021-12-07 00:00:00,,neutral,positive,neutral,neutral
"We are proud of our 17th President. Very knowledgeable, articulate and confident.
God bless and protect you and your family always
BBM - Sara ❤️💚❤️🇵🇭",2021-12-07 00:00:00,,positive,positive,positive,positive
Michaela Tabing Wong amen so be it in Jesus name,2021-12-07 00:00:00,,neutral,positive,neutral,neutral
Michaela Tabing Wong oxford kc talagang genius like his father.,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Michaela Tabing Wong 👍❤️💚 solid,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Michaela Tabing Wong parang gusto nilang gawin na Historical People ng EDSA at Martial Law si Bongbong Marcos bakit kaya eh Hindi naman siya yun kundi Tatay naman niya na si Ferdinand Marcos yun parang kwentong Anak naman yata yan eh did dapat ang kwento ay Anak ng EDSA at Martial Law Historical Story

in the name of the Father and Son",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Michaela Tabing Wong In cabalastic no.17 is equal to 8 and no.8 is the successful number in any endavore 🙏,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Started at 12 midnight in NZ, ended just after 4am, had only 2 hours of sleep before going to work but it's totally worth it. Congrats to the four participants, salute to you all and to SMNI for a job well done 👏 👏 👏",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
Sir, job well done your answer enlighten those who still undecided.❤️❤️❤️💐💐💐",2021-12-07 00:00:00,,positive,positive,positive,positive
"Kudos to the 4 of you , sir ! 👏🏻 #Respect",2021-12-07 00:00:00,,positive,positive,positive,positive
congrats po in Advance. God Bless,2021-12-07 00:00:00,,positive,positive,positive,positive
So brilliant pops! God bless you,2021-12-07 00:00:00,,positive,positive,positive,positive
Well prepared and fitted to become our next President. I watched it yesterday I'm so satisfy on your answers to all political issues. You've a brilliant mind senator. Feels like thesis defense when prof. Clarita asking you a questions but you nailed it. God bless po. ✌️✌️✌️🇵🇭🇵🇭🇵🇭👊👊👊👊,2021-12-07 00:00:00,,positive,positive,positive,positive
Chris Mendoza Di nag pakabog sa mukhang terror na Profesor.Ako ang kinabahan nang makita ko ang aura ni Prof.Clarita Carlos.Piniga talaga ni Prof.ang next President👍👍👍GOOD JOB BBM❤❤❤,2021-12-07 00:00:00,,negative,positive,positive,positive
Salute to you Sir. Your the most qualified for the position!✌️👊❤️💚God Bless and keep safe always 🙏,2021-12-07 00:00:00,,positive,positive,positive,positive
Yes a brilliant answers from out next President BBM. He got his intelligence from his father a proud Dad. GOD BLESS BBM AND THE WHOLE MARCOS FAMILIES AND RELATIVES,2021-12-07 00:00:00,,positive,positive,positive,positive
"Jessamyn Adrian yes super matalino tlga c bbm ,my humble heart sa lahat",2021-12-07 00:00:00,,positive,positive,positive,positive
Jessamyn Adrian never straight to the point ang mga answers????,2021-12-07 00:00:00,,negative,positive,neutral,neutral
"Congrats po Sir! As an ordinary citizen of our beloved Philippines i can say that the debate was very informative, we've learned a lot po while listening to you and the other candidates...
Mabuhay!",2021-12-07 00:00:00,,negative,positive,positive,positive
Remz Lyn Palacsa Caling,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Leah Lyn Jose updated na din sila😀😀,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Congratulations
to be soon preSident❤️ stay safe and god bless!",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
po, so proud of you. We love you BBM! God bless",2021-12-07 00:00:00,,positive,positive,positive,positive
"Maraming salamat po sir BBM for your tireless efforts not only in campaigning in the streets but more so in letting us know your platforms & plans for our country. you came to the SMNI debate prepared and ready, and delivered with confidence and humility. God bless you more.",2021-12-07 00:00:00,,positive,positive,positive,positive
Congrats Sir BBM.. Im proud of you.. Your the best ... We love you and God Bless You always ❤💚✌👊,2021-12-07 00:00:00,,positive,positive,positive,positive
"Proud to be a Filipino because of you sir BBM, you really are the destined to be the next Pres.of this country. Kudos to the 4 hours debate and you answered all the question intelectually, great country needs a great leader like you, with vision, goals and love to the entire Philippines. Mabuhay po kayo, BBMSARA202. Uniteam lang❤❤❤💚💚💚",2021-12-07 00:00:00,,positive,positive,positive,positive
Congrats sir ..job well done,2021-12-07 00:00:00,,positive,positive,positive,positive
Buti nalang naka habol ang mga absent #BBMSARA2022,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Ginisang Sabaw fyi ndi ako leni supporter. Ur barking at d wrong tree po.
Im refering to leni s comment ko. Sila lang n ni pacman ang kamoteng sumagot kpag wlng advance questions at live interview.",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"Ginisang Sabaw pwede naman dumalo,
Prof.C, Castro: Question?
Leni,Isko,Manny
...MaM May we go out.
Mam can I go to CR😆😆😆",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan kala ko ba sabi ni pakyaw harap harapan sagutan 😂😂😂😂 pero Diko Alam excited ako Pag si lugaw anjan e mapupuno nanaman ng joke lalaban pa more 🤣,2021-12-07 00:00:00,,positive,neutral,positive,neutral
Joshua John Flores Orongan hahaha akala ba natin conflict schedules but why didn't lost connections.,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Jina Saberola maka ihi yong 4 pag uma attend. at mag say excuse mam mag jijingle ho.,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Ja Red na puro babae😂😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan Carry on na cla ni BBM,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Michael Salazar Gonzaga Magkkatabing nakatago,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
nangongopya mga yan! Hahahah,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Present sa Interview pero absent sa Debate,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan 😅😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan mga #certifiedduwag sila,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan nag online class po sila apat.,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"Joshua John Flores Orongan Naghahanap at malamng kumukuha ng idea sa mga panelists at guests, ahahaha... wala kasi sila maisasagot pag anjan sila, mga Kamote.",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Joshua John Flores Orongan pinasalamatan pa kayong apat ng future pangulo, heheh",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Sa susunod na debate iinom aq png maintenance ng lola qoh😂😂,2021-12-07 00:00:00,,neutral,positive,neutral,neutral
"duwag talaga ung apat gusto nila sa GMA, KBP, CCN, at COMELEC DEBATE lng cla pupunta.. buti p c BBM sa SMNI lng pupunta kc inindorso cxa ni quibuloy at hindi pa bias wala cla kinikilinga peo pwede magindorso..🤔🤔 BBM lng kaya humarap sa lahat wala iniiwasan walang bias sa kaya.. unity nga db..",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Joshua John Flores Orongan sabi ko na nga absent sila pero present sa live streaming hahaha cgurado covopyahin ang mga sagot kung sakali I question sa kanila un,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
nanood lng sila...,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan nagtatake note sila kase online class nila yan.Para sa sunod na quiz may alam sila isasagot.🤣peace!,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Michael Salazar Gonzaga yon nga eh,hahaha,tpos sv May mga Appointment na hahaha,ano kya feeling nila habng nanonood",2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"EsterLyn P. Leal pede rin,",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Sakalam lang ang umattend. Nanunuod lang ang mga duwag ✌🤪🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan naka modular classes sila kay Professor!!😬😬😬🤣🤣🤣✌️,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Online class yern??🤣🤣🤣,2021-12-07 00:00:00,,neutral,negative,neutral,neutral
Donna LLo Tan,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Joshua John Flores Orongan sabi absent sila😂present pala😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Alhissa Jane Magbuhos gusto pa cute na questions ayaw nya sa difficult,2023-12-07 00:00:00,,positive,neutral,neutral,neutral
"Joshua John Flores Orongan
Battle of the Brain 🧠🧠🧠
Ligtas Ang walang alam.
4 Presidential candidates left the group.",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
We are so proud of you BBM!! I salute! God bless,2021-12-07 00:00:00,,positive,positive,positive,positive
"""IN DIFFICULT MOMENT HINDI SYA NAG PAPAKITA""

-Prof. Clarita Carlos🤭😅",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Jessica Paticaoen Cabilan tama,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Ghie Andres Bagacina si nanay Leni.yun.hindi umattend kasi baka takot kay prof clarita🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Nag papa picture lang kasi,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"Popoy Son Roxas https://
m.facebook.com/
story.php?story_
fbid=5388775761
151929&id=10000
0586765074",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Jessica Paticaoen Cabilan Hwg po kaung ganyan! Aattend nmn po cla kaso dun s scripted n debate n ung tanong eh alam n pra makasagot agad magmukhang matalino at wlang ganyang guests n bawat sagot s tanong eh my follow up question agad😂😅😆🤪 Jan mo makikita kng cno ang makakapasa s recitation at s huli s defense😂😅😆,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"#LetLeniFaceClar
ita patrending natin guys 😂😂😂",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Popoy Son Roxas yes,,, cno kya and di nag pakita in difficult moment,,bakit nga ba absent sya,,🤣🤣🤣🇵🇭✌",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Tpng Jstn tong hashtag nato dapat ipatrending s twitter hahaha,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Popoy Son Roxas nag luto sya ng lugaw para daw sa caravan nila ,,, 😁",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
"Popoy Son Roxas malabo Kasi mata mo! Try mo sa optical clinic, baka masolusyunan ng eye glass mata mo😂🤣",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"https://
www.facebook.com
/
burito.floro.5/
videos/
464981251226325/
?app=fbl

Hindi tlga sya pede sa live",2021-09-23 09:43:00,,neutral,neutral,neutral,neutral
Melvin Magallanes Di kasi yon yong favorite Prof nya at Papayag sa utak nya.✌️✌️😂😂😂,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Popoy Son Roxas Wala eh. SMNI debates ang nagpatunay na di nila kayang sagutin si Prof. Carlos in a formal debate. Equal naman ang tanong per candidate. Wala kaseng advance questionaire kaya lumambot yung tuhod nila. Asan na kaya yung pinag mamalaki nilang degree.. 🔍🧐,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Popoy Son Roxas yan sila oh🤣🤣🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Popoy Son Roxas kasi hindi pinapa kita sa media.. Ikaw naman nag pa paniwala sa nanay mo maritess hahahaha,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Nice one Popoy! I love that. 🤣🤣🤣,2021-12-07 00:00:00,,positive,positive,positive,positive
Jhan Salvador Diaz tama👍❤️❤️,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Alex Dls kung Isa ka sa tumatakbo sa pagkapangulo, Dadalo ka pa rin ba Kahit alam mong iniindurso na nila Ang Isa sa kalaban mo?",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Jimmy Losocon ✌️✌️✌️✌️❤️❤️❤️❤️,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Alam mo katwiran mo dika pede kahit pang tanod ng brgy... Think??? Dina need explain sayo just think?,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Popoy Son Roxas bka di kayanin ang tanong...magand
a tanong tumpak ang sagot..",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Popoy Son Roxas parihas ng comment..ahajaj
may source???i mean gc😜😜..ahahaha",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Na WAGDU um attend sa debate kasi nga..
Tapos wla pang advance question so paano na..??

Si Prof. Clarita na nagsabi nyan ahh...",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Arje Magtoto Mejos bobo spotted😂😂🙊🙊🙊 si prof. clarita nag sabi kaya nga may _prof.Clarita carlos

Issue bobo nmn😂😂😂😂",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Popoy Son Roxas marites HAHAHAHA,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Popoy Son Roxas sino, Si Leni? Haha. Mahirap yung tanong ng prof pag di alam talaga ng sasagot but agree with Marcos ans Abella sa sagot",2021-12-07 00:00:00,,positive,neutral,positive,neutral
Popoy Son Roxas wala daw po kcng leak ng mga itatanong..,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Tpng Jstn,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Popoy Son Roxas Kung mka asta parang ang galing sumagot ng manok mong pink. Sa isang presidential interview nga kahit pang elementary yong interview di nga mkasagot. Di naman kagalingan manok mo sa QnA. Buti pa si Juliana Miss QnA. lol! Peace,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Congratulations
my PBBM! So PROUD of you sir, you nailed it!
Always here #Uniteambahay praying for you and our next VP Mayor Inday Sara Duterte! God bless you both. ❤️💚❤️💚❤️💚❤️💚
#MahalinNatinAng
Pilipinas",2021-12-07 00:00:00,,positive,positive,positive,positive
""" In the difficult questions, hindi ako nagpapakita"" - Mama Pink",2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Arjay Humarang talino mo kuya tumpak na tumpak😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Christine Gomez 😂🥰😂😂😂😂🤣🤣🤣🤣🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang pero nauna daw sya field🤣🤣🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang 😂😂😂😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"James Fernandez oo madam simbahan Yan, nakita kolang din SA ibang pages Kaya screen shot ko ,, nasura din ako nung Makita ko Yan, bilang isang myembro din NG katoliko, nakakadismaya na ginagawa nilang pagkadesperada ,, pati simbahan ginagamit na nila SA sariling interest..",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang kailangan daw ng advanced questions,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Urot Zinger subukan lang ng mga rosas na yan kung hindi sila mangalanta ,malaglag petals nila ,kaya pahinga ako😂😂",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang 😂😂😂😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Christine Gomez https://
www.facebook.com
/1816696045/
posts/
1021643248464412
8/?app=fbl",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Arjay Humarang pero duwag sa KBP, CNN at KMJS? - Papa Pula",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang yung simpleng tanong ngang anong comfort food walang diretsahang matinong sagot marami pa cute cute paikot ikot eto pa kaya eh its very difficult 🤣,2021-12-07 00:00:00,,positive,negative,negative,neutral
"Arjay Humarang Lahat ng sinasabi nya, kinakain nya. Nakakahiya , inconsistent and a great liar.",2021-12-07 00:00:00,,positive,neutral,neutral,neutral
"Edna Velasco nakakatawa sila 😄😄😄😄 di kaya si Prof. Carlos, afraid ba?",2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Arjay Humarang sir ma nose bleed po sila nd pd po don ang kodigo haha,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Arjay Humarang well said...,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Arjay Humarang not scripted kasi kaya absent🤣🤣🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Mikaela Tue Alam mo ang tao minsan mapapangiwi yan lalo n kung mataas ng blood pressure, maybe merong health condition yan pero ok na yon na gagamot pero yung lutang ka di mo alam pinagsasabi mo much better less talk less mistake",2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Biber Pathy tama.,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
