text,created_at,like_count,trueSentiment,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
dont script discus lenis platform want like back manufacturing unemployment benefit choose want im stupid like everything thief liar brain absorb information,2022-05-07 23:54:23,0,,,,,,
grandmother still fought solid bbm hahahaha get leni,2022-05-07 23:54:23,0,,,,,,
leni kiko really evil,2022-05-07 23:54:22,0,,,,,,
ok leni neighbor,2022-05-07 23:54:19,1,,,,,,
j mostrei deimais meu rosto na redes sociais agora chega,2022-05-07 23:54:15,0,,,,,,
sitting vice president fine record public service taint corruption paper leni robredo dream candidate word bbc news,2022-05-07 23:54:09,0,,,,,,
didnt leni go davao know one come rally inday sara mayor davao,2022-05-07 23:54:07,2,,,,,,
huhu heart lenis favorite cousin husband well tito yes congratulated haha one older cousin close bbm huhu ga leni lutang2 siya poga disappointed surprised im trying convert another cousin mine,2022-05-07 23:54:06,1,,,,,,
lot impression,2022-05-07 23:54:03,0,,,,,,
stop crack useless vp leni elistist watch learn,2022-05-07 23:53:54,55,,,,,,
edi sanaol went lenis makati rally ampotchi ang lapi lapi lng nmn bat didnt allow,2022-05-07 23:53:50,0,,,,,,
going church leni yiiee,2022-05-07 23:53:47,0,,,,,,
turned 1 million reached last night im proud say one stood ground vp lenis meeting de avance,2022-05-07 23:53:43,0,,,,,,
leni win,2022-05-07 23:53:42,1,,,,,,
said didnt become aware sin close eye bbm know belief religion cyst basis people country wake dont know like love want open eye jeng know leni,2022-05-07 23:53:40,2,,,,,,
lol lack understanding tired speaking leni since presscon let leni withdraw said blaming others action ahaay,2022-05-07 23:53:34,7,,,,,,
putanginang hard people novaliches kyusi yesterday bus lenikiko going rally good find way still arrived,2022-05-07 23:53:24,8,,,,,,
scared len hype mom think differently leni,2022-05-07 23:53:20,0,,,,,,
lenis house simple expensive village cheapest property compared presidentiables donated marawi money given election protest rather saving made think open mouth,2022-05-07 23:53:19,131,,,,,,
cry leni,2022-05-07 23:53:17,1,,,,,,
itna protest ki jagah kuxh study kr leni thi,2022-05-07 23:53:03,0,,,,,,
yes leni rag,2022-05-07 23:53:03,3,,,,,,
good luck vp leni,2022-05-07 23:52:56,3,,,,,,
worked know broken fixed,2022-05-07 23:52:27,0,,,,,,
,2022-05-07 23:52:24,1,,,,,,
see ayala mall manila bay full bbmies leni still wearing yellow mask white polo shirt,2022-05-07 23:52:20,0,,,,,,
hahahahahahahaha lenis volunteer say bbm hauling laugh work,2022-05-07 23:52:19,0,,,,,,
happy friend dota2 voted vp leni,2022-05-07 23:52:15,0,,,,,,
goosebump,2022-05-07 23:52:07,0,,,,,,
ready attack vp leni bitter,2022-05-07 23:52:03,6,,,,,,
im already mentally stable didnt cry almost 10 month watched meeting de avance literally cried idk feel really need vp leni scared ever vp leni doesnt win hopefully cant,2022-05-07 23:51:54,0,,,,,,
thanks dignity stand one lenikiko win,2022-05-07 23:51:53,0,,,,,,
aa m mau wrob endorsed vp leni,2022-05-07 23:51:51,0,,,,,,
wont feel leni said read scripted heart,2022-05-07 23:51:47,0,,,,,,
claiming nman eh na tarlac leni jusko gurl wake upyou loser hahahaha len len loser,2022-05-07 23:51:23,0,,,,,,
uncle went ping isko leni yaass,2022-05-07 23:51:22,2,,,,,,
notice lot people breaking law election season yet one worship madumb cant even called expecting chaotic philippine leni win bcos sure rule,2022-05-07 23:51:22,4,,,,,,
way aroundleni upset bebem stronghold,2022-05-07 23:51:18,1,,,,,,
ill breakdown long vp leni defeated,2022-05-07 23:51:16,1,,,,,,
good morning namam taxi driver dd ar marcos apologist hahahaha said philippine going crazy leni many supporter say aquino hahaha,2022-05-07 23:51:05,0,,,,,,
didnt go authority medium investigated hey politician matter give money dont tell c leni pacquiao isko etc dont give story thats dont clean oh,2022-05-07 23:51:04,0,,,,,,
mannygt,Leni fax,2022-05-07 23:51:01,0,,,,,
woke cry dream screaming lenikiko election scary,2022-05-07 23:50:56,1,,,,,,
update sir invented,2022-05-07 23:50:47,1,,,,,,
think gray outline good well darker color,2022-05-07 23:50:44,0,,,,,,
exit poll conducted msms try establish winning trend leni let u vigilant,2022-05-07 23:50:30,0,,,,,,
kpop stan miss era filo kpop stans always arguing first time history united show filipino leni robredo deserves born philippine,2022-05-07 23:50:26,4,,,,,,
cried early morning haha election anxiety real im feeling hopeful leni leader deserve aspire really hope filipino let miss,2022-05-07 23:50:19,0,,,,,,
among lenis child tried snatch valedictorian real valedictorian,2022-05-07 23:50:10,0,,,,,,
died president leni would new president shes vp country wah gago great super iconic pala non ever happened like woman lead country,2022-05-07 23:50:09,0,,,,,,
ta gagi confessed privileged enough register vote first time registered leni generation candidate didnt want waste right vote,2022-05-07 23:50:03,1,,,,,,
leni win study promise hahahaha,2022-05-07 23:50:00,10,,,,,,
god bless mom three daughter godbless filipino people thirst good governance godbless philippine rightful leader lord jesus pray bless leni robredo kiko pangilinan next president vice president,2022-05-07 23:49:59,0,,,,,,
theyre really amazing longer involved hahahaha percentage leni kiko win really place pllss lord mayta indeed,2022-05-07 23:49:58,1,,,,,,
see leader like vp leni robredo let waste together opportunity raise country people,2022-05-07 23:49:55,1,,,,,,
fire face lenikiko,2022-05-07 23:49:45,0,,,,,,
hahahah know lenis supporter ruining image also way act way lied obvious vote choice dont dictate others,2022-05-07 23:49:30,0,,,,,,
im really happy didnt force came final decision pink tt ping isko leni ping isko really end game leni even month may,2022-05-07 23:49:28,0,,,,,,
hahahahaha funny post something antileni call tag respect opinion pls respect dafuq thats vote cocaine addict hahahahaha,2022-05-07 23:49:22,18,,,,,,
turn maam leni character speech candidate last night said last day campaign last whistle destruction hey,2022-05-07 23:49:18,2,,,,,,
let leni lead vote president second choice lacson,2022-05-07 23:49:14,0,,,,,,
pabigat na pisan calling leni porridge bb didnt even graduate high school lazy lazy study,2022-05-07 23:49:11,2,,,,,,
hahahahaha mother leni great artist,2022-05-07 23:49:06,1,,,,,,
leni win ttbe,2022-05-07 23:49:04,10,,,,,,
happy mother day mama leni miss campaign love u,2022-05-07 23:49:02,0,,,,,,
thick face use duterte surname shout leni kiko,2022-05-07 23:48:59,0,,,,,,
artist attended vp leni last night star struck miss u catriona gray anne curtis beautiful,2022-05-07 23:48:56,11,,,,,,
,2022-05-07 23:48:52,0,,,,,,
isko right leni bbm involved life poor let vote isko red pink,2022-05-07 23:48:52,6,,,,,,
really vocal person election support vote forbut im proud say leni,2022-05-07 23:48:19,1,,,,,,
bike hurry home eheheh bike still holding leni light ehehehe,2022-05-07 23:48:12,1,,,,,,
ketamine addict leni kiko,2022-05-07 23:48:09,1,,,,,,
leni may 9th tired abunado volunteer,2022-05-07 23:48:08,1,,,,,,
manny held rally tacloban lenis single poster rtr plaza removed held rally removed thats youre outdone rag,2022-05-07 23:48:07,236,,,,,,
good morning guy attended president lenis advance meeting last night hope safe go home,2022-05-07 23:47:59,0,,,,,,
posted fb l rally laguna picture sen kiko vp leni going post case embarrassed dont permission even posted cousin fb account,2022-05-07 23:47:56,0,,,,,,
luh recounted three time leni gotten better lol mind conditioning,2022-05-07 23:47:54,1,,,,,,
happy mother day vp leni,2022-05-07 23:47:47,0,,,,,,
good morning kakampinksguys dont cry morning guysbut okwe know win thissee u 9 kakampinksgod blessmadam sir kikofrm angeles city,2022-05-07 23:47:45,0,,,,,,
papa mama telling story passing neighbor madam leni voted lt,3 :((,2022-05-07 23:47:44,4,,,,,
luhh take mom boplaks think leni engkantada world magic jusq think like,2022-05-07 23:47:40,0,,,,,,
campaign period end want express utmost gratitude respect volunteer rpc especially youth leni nueva vizcaya awesome although participate h2h campaign proud stand,2022-05-07 23:47:31,2,,,,,,
way leni economy leni grow pinas going lose dhl alm nya pgcompute 4 x 40 1600 want fight president take revenge marcosso bother serve4 x 40 1600 4 x 40 1600 4 x 40 1600,2022-05-07 23:47:29,0,,,,,,
tore duterte streamer someone put using wall back 2016 haha time im proud say dont neighborhood fake news town leni dominates,2022-05-07 23:47:28,3,,,,,,
happy mother day tomorrow let win madam leni robredo,2022-05-07 23:47:23,36,,,,,,
elevator going unit met 2 chilltop boy bbm girl even vp leni doesnt run wont vote even dont vote he one even sister drunk know vote,2022-05-07 23:47:17,1,,,,,,
iskos one vlogger right 8 month enough negate issue thrown vp leni dd bbm vloggers good demolition job leni sad,2022-05-07 23:47:17,1,,,,,,
come sleep wake cry heyy everyone uniting lenikiko,2022-05-07 23:47:15,1,,,,,,
cried lenikiko,2022-05-07 23:47:11,1,,,,,,
papped placard kong haggard leni pasend sakjn hsjahshshshahah,2022-05-07 23:47:08,0,,,,,,
jillrobredo,2022-05-07 23:47:07,0,,,,,,
come family maam leni hmm,2022-05-07 23:47:04,0,,,,,,
anxiety given election 2022 severe like thank vp leni waking filipino let fight filipino philippine,2022-05-07 23:47:03,4,,,,,,
story tell since first time voted 1992 never anything like movement support people initiative camaraderie time came stood vp leniand good thing family stood,2022-05-07 23:46:59,949,,,,,,
happy mother day leni robredo,2022-05-07 23:46:59,0,,,,,,
blengblong supporter one say young people others voter say lenis supporter come back defeated say young people,2022-05-07 23:46:57,1,,,,,,
super excited vote tomorrow proud say first vote leni kiko future female im claiming tip first time voter god bless philippine,2022-05-07 23:46:57,3,,,,,,
yesterday left wallet cashier saying word brother ill leave case think going lenikiko,2022-05-07 23:46:39,0,,,,,,
im literally cry right nowlenikiko win,2022-05-07 23:46:39,4,,,,,,
dad vote leni want vote bbm say vote leni embarrassing huhuhu heart happy leni promised vote,2022-05-07 23:46:32,5,,,,,,
meeting de avance topic leni mayor trying hard relevant super turn,2022-05-07 23:46:30,1,,,,,,
spot mam leni really really,2022-05-07 23:46:23,0,,,,,,
think leni hard time writing concession speech,2022-05-07 23:46:17,0,,,,,,
said leni bobo leni lutang ok lol happy mother day,2022-05-07 23:46:10,0,,,,,,
priest church earlier straight told ppl vote leni started homily dont vote thief gagee yan fatherr love naa respect bravery,2022-05-07 23:46:09,3,,,,,,
funny changed dp lenikiko last wed clan started change dp well 88m lmao,2022-05-07 23:46:00,0,,,,,,
leni robredo 17th president philippine cutie,2022-05-07 23:45:51,1,,,,,,
unfavorite child leni,2022-05-07 23:45:41,6,,,,,,
come papa im going go mom fun hahahh,2022-05-07 23:45:38,0,,,,,,
yall like respect po yall cant accept theyre voting leni instead theyre voting president rest bullying mocking saying insensitive thing happened,2022-05-07 23:45:37,0,,,,,,
gma news parent company pro leni kiko,2022-05-07 23:45:35,0,,,,,,
know vp leni sen kiko win volunteerism see rally today even worse see leadership lot support people carried hope fear,2022-05-07 23:45:35,5,,,,,,
lack sleep lenikiko,2022-05-07 23:45:34,1,,,,,,
seeing tweet lenis mda today terrible lord please let lenikiko,2022-05-07 23:45:31,2,,,,,,
correct found apply self madam leni,2022-05-07 23:45:30,0,,,,,,
im sad heart havent seen vp leni anymore didnt come stage donbelle even though program hmp,2022-05-07 23:45:27,0,,,,,,
lord pls dont want leni best president never pt 2 country hope,2022-05-07 23:45:04,4,,,,,,
leni still want put modernization transportation hold done time think,2022-05-07 23:45:04,0,,,,,,
bbm leni pink red green wrong thought patient health welcome infection sepsis,2022-05-07 23:44:53,0,,,,,,
everyone back home sleep leni haha,2022-05-07 23:44:51,3,,,,,,
walked leni u,2022-05-07 23:44:51,0,,,,,,
love president leni first time entire life concerned election whole people hoping right leader country,2022-05-07 23:44:48,1,,,,,,
dont leni huhuhuhu,2022-05-07 23:44:41,1,,,,,,
happy mother day mom dad sister brother aunt uncle grandma grandpa madam leni,2022-05-07 23:44:39,0,,,,,,
oh cge dont want cry many leni 50 registered meanwhile kay bbm solid voter 90,2022-05-07 23:44:39,0,,,,,,
sayoha pa buntag oy papa seg patukar leni,2022-05-07 23:44:13,0,,,,,,
thats true shown iskotertes event iskoterte nothing throw vp leni fight red yellow,2022-05-07 23:44:00,6,,,,,,
blind boy posted fb supporter bbm cant repeat girl said girl mother saw able speak one child committed suicide teacher leni supporter null justice,2022-05-07 23:43:56,1,,,,,,
family talk leni supporter family brother said college taught u marcos bad least really sin college teach u truth,2022-05-07 23:43:47,2,,,,,,
someone fixture last night area leni kiko tarp almost every post still accross road others quiet leni kiko also knocked gate door,2022-05-07 23:43:46,223,,,,,,
nice ride free think leni win mrt go back normal,2022-05-07 23:43:32,1,,,,,,
solid bbm officemate said voter go lenis rally know almost half registered voter today young people energy rally brought may 9,2022-05-07 23:43:28,8,,,,,,
also want post raised strong woman like leni since mother day today mother bbm,2022-05-07 23:43:26,1,,,,,,
happy birthday sir thanks helping vp leni,2022-05-07 23:43:23,0,,,,,,
leni loses would hated ping isko,2022-05-07 23:43:20,0,,,,,,
wow maam leni marcos jr thats good man,2022-05-07 23:43:12,6,,,,,,
confirms suspected along maybe ran reduce lenis vote bec wasnt criticizing supposed frontrunner doesnt make sense,2022-05-07 23:43:11,72,,,,,,
everybody know created acct support lenikiko since could support using real acct national government employee honor fight,2022-05-07 23:43:11,64,,,,,,
ran away caught parent leni lt,3,2022-05-07 23:43:09,1,,,,,
saw video tiktok duterte endorsed leni speech,2022-05-07 23:43:03,0,,,,,,
got stuck makati last night fine leni,2022-05-07 23:42:57,1,,,,,,
im ready castigate administration soon pres leni soon vp kiko,2022-05-07 23:42:57,0,,,,,,
vote correctly invalidated look happened recounted vp lenis vote 2016 vote longer counted thats 16k careful careful vote counted,2022-05-07 23:42:53,4,,,,,,
haul pay one installed wrong president happens hey poor philippine please let leni kiko,2022-05-07 23:42:48,0,,,,,,
video lenikikos makati meeting de avance giving goosebump,2022-05-07 23:42:41,0,,,,,,
leni win,2022-05-07 23:42:32,0,,,,,,
thank much,2022-05-07 23:42:31,0,,,,,,
leni win really cry bbm tangina moo,2022-05-07 23:42:27,0,,,,,,
cried lot last night especially vp leni thanked everyone h2h,2022-05-07 23:42:11,1,,,,,,
let go leni,2022-05-07 23:42:04,0,,,,,,
got home good morning everyone proud self happy part 9500 people last night last campaign rally mami leni much fun philippine let vote wisely,2022-05-07 23:41:58,2,,,,,,
even dont sleep leni win,2022-05-07 23:41:55,4,,,,,,
strength bbm provoke leni isko comment post wife get upset delete post engaging discussion candidate fight last time told he full clout,2022-05-07 23:41:54,14,,,,,,
potangina lenikiko cry 6 year,2022-05-07 23:41:50,0,,,,,,
mom loren legarda challenge mommy issue madam leni,2022-05-07 23:41:48,1,,,,,,
yes hubaderos leni,2022-05-07 23:41:47,0,,,,,,
good morning ulet leni kiko,2022-05-07 23:41:46,1,,,,,,
president leni amp, vice president kiko 🌷 i-claim na natin 'yan,2022-05-07 23:41:44,0,,,,,
dont waive im sure company leni,2022-05-07 23:41:41,187,,,,,,
let reverse im reverse used like leni 2016 hate bbm really dont like marcos either today case im anyone leni hate leni bbm anyway respect choice hope respect mine reason,2022-05-07 23:41:30,0,,,,,,
uncle q bbm even 9yrs old cousin really teased leni porridge bc favor madam funny kid still brain compared forty still swallow,2022-05-07 23:41:25,0,,,,,,
good morning grab driver said leni tayo maam leni tayo saw tarp gate,2022-05-07 23:41:17,7,,,,,,
difference duterte wasnt target massive disinformation could people searching lenis edited misleading video hope wrong,2022-05-07 23:41:12,177,,,,,,
among appointed official responsible tomorrow big event duterte even related marcos dont believe prrd really gonna ensure clean fair election never trust word he always lying hope time real,2022-05-07 23:41:08,1,,,,,,
im little worried might happen tomorrow comelec failing gain trust time imagine vehicle use deliver material election tomorrow uniteam tarp worrying add,2022-05-07 23:41:07,1,,,,,,
ahh hoping leni win huhu,2022-05-07 23:40:59,0,,,,,,
relax leni win please hug friend let realize made best choice country,2022-05-07 23:40:56,0,,,,,,
haha mama leni contagious,2022-05-07 23:40:55,0,,,,,,
dont vote leni pay attention fake,2022-05-07 23:40:50,1,,,,,,
dad cute he super excited lenis victory party asked take leave advance go together please philippine wise,2022-05-07 23:40:41,12,,,,,,
leni even compared zelensky guy really laughing,2022-05-07 23:40:35,0,,,,,,
happy mother day single mom like mama vp leni sen risa salute,2022-05-07 23:40:23,5,,,,,,
hey found vp leni phone hide,2022-05-07 23:40:22,0,,,,,,
like believed lenikiko tandem love philippine need reclaim country need leader truly trust im proud even though im simple citizen part continue support complete 6 year,2022-05-07 23:40:16,88,,,,,,
desired order government peaceful future let go lenikiko tomorrow,2022-05-07 23:40:06,0,,,,,,
cry early morning seeing highlight vp lenis campaign,2022-05-07 23:40:04,3,,,,,,
lenikikos mda yesterday mostly twitter open noticed,2022-05-07 23:39:55,0,,,,,,
noisy leni,2022-05-07 23:39:53,2,,,,,,
people madam leni sir kiko trust,2022-05-07 23:39:41,1,,,,,,
good morning whats official count bbm leni isko rally,2022-05-07 23:39:37,0,,,,,,
according sister solid dutertard lbm supporter hate leni white dog say better chinese dog least asian many asian country dont know china still hate cppnpa model country chinese communist party brain,2022-05-07 23:39:31,0,,,,,,
busy shift earlier omg great watching clip series video lenikiko wow lord hope pink troop win monday,2022-05-07 23:39:27,4,,,,,,
woman wont leni sit seat malacaang slay madam,2022-05-07 23:39:25,0,,,,,,
good news neighbor solid 88m said accepted 500 candidate course vote female gov including leni sharing fb work,2022-05-07 23:39:22,0,,,,,,
hatred bullying mockery lenis classmate despair knowing bbm next president slowly killing,2022-05-07 23:39:08,2,,,,,,
thank anne curtis showing full support vp leni amp, sen kiko meeting de avance. Gobyernong tapat angat buhay Lahat. Ipanalona10to🙏🌸♥️🇵🇭,2022-05-07 23:38:57,1,,,,,
one every rally one heard every promise platform project hope one convinced service offered lenikiko tandem real cant even announce publicly hope vote look,2022-05-07 23:38:54,4,,,,,,
take care vote leni sure confirmed cheater toxic people supporter im sure survey fake 58 marcos jr real survey leni robredo counted ofw kakampink joining around world,2022-05-07 23:38:53,0,,,,,,
leni lawyer economist public servant chicken egg,2022-05-07 23:38:50,0,,,,,,
wishing happy mother day insult maam leni good mother pure mother wish coconut eneweys happy mudrakels dei,2022-05-07 23:38:47,0,,,,,,
one hour sleep think happen monday im losing hope lenikiko win yes made decision hahaha,2022-05-07 23:38:41,0,,,,,,
ill go home leni president,2022-05-07 23:38:32,7,,,,,,
floating c leni like,2022-05-07 23:38:22,0,,,,,,
woke immediately thought go lenikiko victory party,2022-05-07 23:38:17,0,,,,,,
hahahahaha aunt never even opened book lenis reference parent chiismis gullible,2022-05-07 23:38:11,1,,,,,,
vp leni threatened arent 24,2022-05-07 23:38:07,0,,,,,,
even mainstream medium news watch effect e maybe change style apple photo ops destructive others might like 2016 also bet,2022-05-07 23:38:01,0,,,,,,
sir dormiendo become teacher leni,2022-05-07 23:37:38,0,,,,,,
returning home leni,2022-05-07 23:37:26,1,,,,,,
undecided long time ping lacson one chose vote president became undecided know vote may 9,2022-05-07 23:37:24,8,,,,,,
mau saldo dana kak semoga lancar rejekenya,2022-05-07 23:37:16,0,,,,,,
manifesting president leni robredo cutiee,2022-05-07 23:37:12,0,,,,,,
happy mother day everyone except mom say leni chance winning shes girl,2022-05-07 23:37:11,0,,,,,,
sleepless leni kiko,2022-05-07 23:37:09,0,,,,,,
let leni,2022-05-07 23:37:04,0,,,,,,
oh,2022-05-07 23:37:02,0,,,,,,
grandfather switching bbm leni bbm pacquiao least marcos jr despite one marcos guard,2022-05-07 23:36:57,10,,,,,,
lyag leni gt,&gt,&gt, Busina and Walk For LeniKiko &gt,&gt,&gt, Miting de Avance Watch Party 🌷  Pero bangon gihapon kay duty today!!! ✊🏼,2022-05-07 23:36:52,2.0
listen leni said interview fake news,2022-05-07 23:36:50,0,,,,,,
sure leni giving away,2022-05-07 23:36:44,0,,,,,,
happy mother day mama leni dont feel itchy heart join u fight great love concern country love fight fight every filipino let win,2022-05-07 23:36:44,0,,,,,,
philippine philippine win let leni win,2022-05-07 23:36:35,0,,,,,,
leni start one saying negative thing campaign shes fake,2022-05-07 23:36:30,0,,,,,,
leni kiko win relax,2022-05-07 23:36:24,4,,,,,,
he god boy,2022-05-07 23:36:22,1,,,,,,
wonder vp leni dog,2022-05-07 23:36:18,2,,,,,,
asked receive 1k attending mda coworker said receives people attend lenis rally need proof paid stand future people,2022-05-07 23:36:13,1,,,,,,
4 x 40 1600 island philippine 1700me kcstupid kc c leni,2022-05-07 23:36:01,0,,,,,,
battery pack caught fire good still recovered maybe tired going around ayala anyway drone served well show filipino massive vp lenis event,2022-05-07 23:35:47,14,,,,,,
please pray kiko pangilinan win next vice president philippine leni robredo win next president philippine jesus name,2022-05-07 23:35:42,0,,,,,,
proud say 1 7500 people lenis meeting de avance,2022-05-07 23:35:41,1,,,,,,
thank gab beginning end initiate energy crowd still lssed lenikiko chant know proud happy mother day greet happy mother day,2022-05-07 23:35:41,3,,,,,,
manifesting leni sunbaenim 2nd win tomorrow,2022-05-07 23:35:28,1,,,,,,
day 89 prayer philippine election 2022 lord please let good qualified people win presidential vice presidential seat let madam leni robredo sir kiko pangilinan win thru intercession virgin mary claiming jesus name amen,2022-05-07 23:35:13,2,,,,,,
afam leni made laugh sshshshshskakakaka,2022-05-07 23:34:41,0,,,,,,
lenis campaign miss era much,2022-05-07 23:34:35,5,,,,,,
trust sharlenes choice im choosing leni bcoz shar im choosing bcoz shes less evil candidate im wrong wont tolerate ill stand nation sake president vp leni dont break trust,2022-05-07 23:34:34,0,,,,,,
there nothing wrong preferred candidate thats right many friend voting leni see posting like post like focus voting vp leni like db,2022-05-07 23:34:25,0,,,,,,
thank vp leni giving u reason fought fought continue fight p never thought would wearing much pink age,2022-05-07 23:34:04,0,,,,,,
