text,created_at,like_count,,,,,,
"@inquirerdotnet @melvingasconINQ Hangang ngayon d ko maunawaan bakit yung Number 2 (Leni) candidate ang hinihila nya pababa, gayong para manalo sya eh kailangan nyang talunin yung Number 1 (BBM). Di ba kayo nagtataka? Sabi nya, maiba naman, ehh, ibang iba talaga sya sa lahat. Parang tanga lang.",2022-05-07 23:57:00,31,,,,,,
"@JRDCastillo30 280k po sa Barako para kay Leni at Kiko Batangas Grand Rally 🌸. At ang rally po sa Lipa ay hindi po para kay Isko, proclamation rally po yun para sa local candidates 😆",2022-05-07 23:56:52,0,,,,,,
"@JervisManahan Parang ang fresh ng press sa campaign trail ni VP Leni. Dun sa isa parang kulang nalang takpan kamera at ipagtabuyan. Ay wait, nangyari pala talaga yun 🤮",2022-05-07 23:56:52,0,,,,,,
@inquirerdotnet @melvingasconINQ Ung mga supporters nito wag niyo na po siya pag aksayahan ng inyong mga boto... kesa sa knya ibigay niyo na lang po ang boto niyo kay VP Leni Robredo a Kiko Pangilinan.,2022-05-07 23:56:46,2,,,,,,
@jkimvmusic Daddies for Leni-Kiko🥰,2022-05-07 23:56:33,2,,,,,,
ANG PRE 👺 SI 👺 DEN 👺 TE 👺  LENI ROBREDO,2022-05-07 23:56:33,0,,,,,,
good morning sating mga uhaw sa good governance for leni-kiko!! 💗,2022-05-07 23:56:26,1,,,,,,
Wag sayangin ang isang Leni Robredo because losing is not her loss but it's our loss. Wala ng isang katulad niya😭🌷💖,2022-05-07 23:56:26,0,,,,,,
@Japoy__ Iyakin for Leni and Kiko! 🌸,2022-05-07 23:56:22,0,,,,,,
Mga atheists na napadasal for Leni-Kiko!,2022-05-07 23:56:20,3,,,,,,
@charlesjioo Hindi daw nasasama sa masterlist kapag nakitang may Leni tarp sa tapat ng bahay nung nagikot yung taga brgy. Mga di daw nagpapabayad,2022-05-07 23:56:14,0,,,,,,
"@RonFilipkowski So she’s in favor of environmental protections, since she wants to take care of our home—clean renewable energy and all that?",2022-05-07 23:56:00,0,,,,,,
@Japoy__ Buti ka pa ang lapit mo sa stage. Napadpad ako sa Paseo Center na hindi gumagana yung LED screen pero laban lang basta para kay Leni at Kiko. 🌸,2022-05-07 23:55:58,0,,,,,,
I don’t understand my office mates. They have the capacity to choose Chel over Robin but still choose blengbong over Leni????,2022-05-07 23:55:46,1,,,,,,
Saludo sa lahat ng kababayan natin na uuwi pa ng probinsya maiboto lang si VP Leni!!! Salamat sa sakripsiyo at dedikasyon niyo para sa bayan 🥺🌸,2022-05-07 23:55:24,0,,,,,,
@JethroJamesTan Iyakin for Leni-Kiko 😭😭😭,2022-05-07 23:55:22,0,,,,,,
@iamjuandiego225 Sino ba hindi nag pakita ng drug test result? Si Leni dba!,2022-05-07 23:55:18,0,,,,,,
@fangirl_4evr asala sambandam leni dantlo Velupetti without thinking about the consequences ala matladtam chala tappu oka star hero poster medha that too who gave biggest blockbusters back to back in his movies that moment I started disliking her ah vishyam tho polste migatha valavi chinnave,2022-05-07 23:55:11,0,,,,,,
@RCX6969 @nbvneverquits Matalino teh si Vico same with Joy Belmonte ramdam na nilo that Leni the vp will lose.,2022-05-07 23:55:11,1,,,,,,
@aaangsss @angmgatuhod Mga taga EDSA side ng Pioneer pero hinatid sa Shaw side for Leni. 🤣🤣🤣🤣🤣🤣🤣🤣,2022-05-07 23:55:03,2,,,,,,
"happy mother's day sa mama ko, tita nora at kay mama leni!! 🌸🌷🌹🌼",2022-05-07 23:54:57,0,,,,,,
"Happy Mother’s Day to my Nanay, Ate, and all my mommy friends!   Ang wish ko po para sa inyo ay manalo si Leni Robredo, Kiko Pangilinan, at Vico Sotto.   💗💗💗  #IpanaloNa10To #IpanaloNa10ParaSaLahat #UmaagosAngPagasa",2022-05-07 23:54:52,1,,,,,,
Go beh boto nyo si leni pero wag kayong mambastos jusq,2022-05-07 23:54:50,0,,,,,,
"VP Leni pls, ipanalo na10 to🫶🫶  #KulayRosasAngBukas  #LeniKiko2022  #SaGobyernongTapatAngatBuhayLahat",2022-05-07 23:54:49,0,,,,,,
Walang boses today dahil tinodo sa pagsigaw kahapon for Leni. 🌸💕,2022-05-07 23:54:49,7,,,,,,
@inquirerdotnet @melvingasconINQ Ogag ka tlga iskuyukot. Mga nasa laylayan nga focus ni VP Leni eh. Tignan mo personal n buhay nya compare sau. Ung bahay mo compare mo s knya🥴   Asa k p b n mananalo ka. Ngaun wala k ng pwesto ogag. Ppalitan kn ni Atty Lopez🤭🤫 hinay hinay lng kc..,2022-05-07 23:54:42,0,,,,,,
super bait and daldal nila HAHSHSHAHAHAHAHAHA SABI NILA KAHIT MASIRA WIN STREAK NG PH SA MISS U BASTA SI VP LENI ANG MANANALO!!!!!!!,2022-05-07 23:54:42,2,,,,,,
"happy mother's day sa mama kong Lodi♥️. Ma, vote Leni for me labyu💕🌸",2022-05-07 23:54:41,0,,,,,,
I'm so happy i found another Ally in my Family my Lola is for Leni! 🌸🌸🌸,2022-05-07 23:54:39,2,,,,,,
@andrrms @alighierl sai da conta do andre vei,2022-05-07 23:54:37,0,,,,,,
@Leni_InYourArea OMG This is embarrassing,2022-05-07 23:54:34,1,,,,,,
🕯 manifesting leni to win 🕯,2022-05-07 23:54:34,20,,,,,,
@impaulthisone Leni represents good governance? 🤣,2022-05-07 23:54:32,0,,,,,,
@MickieCorgi @TLRyon @AtlRey No. I didn't watch Leni Reifenstahl's films either.,2022-05-07 23:54:28,0,,,,,,
Tapos neighbor namon kay tanan sila Leni huhu,2022-05-07 23:54:23,0,,,,,,
"@erwin_tupaz @jhon_mcostani07 @smninews @lenirobredo i dont have a script. we can discuss about leni's platforms if you want. like 'balik' manufacturing or unemployment benefits, you can choose as you want. di ako bobo katulad nyo na lahat ng bagay is about magnanakaw at sinungaling. my brain can absorb more info than that. 🤣🤣🤣",2022-05-07 23:54:23,0,,,,,,
nag away pa kamw ng lola ko na solid bbm hahahaha para lang makapunta kay leni,2022-05-07 23:54:23,0,,,,,,
@hermiemendoza2 @MacLopez769 Evil po tlaga c leni at kiko💜💜💜 #BBMSARA2022,2022-05-07 23:54:22,0,,,,,,
"ok, leni ang mga kapitbahay namin dito!🌷🌸💕",2022-05-07 23:54:19,1,,,,,,
já mostrei demais meu rosto nas redes sociais agora chega,2022-05-07 23:54:15,0,,,,,,
"""She is a sitting Vice President with a fine record of public service and no taint of corruption. On paper, Leni Robredo should be a dream candidate.""   Not my words but of BBC News'.😩🌸",2022-05-07 23:54:09,0,,,,,,
bat hinde pumunta si Leni sa Davao? Alam niya ba na walang pupunta sa rally niya kase Mayor si Inday Sara sa davao? 🤭🤭🤭,2022-05-07 23:54:07,2,,,,,,
Huhu my heart. Akon fave cousin kag iya husband kay Leni pati si Tito. Yes nag bati na kami haha. Ang isa ko ka older cousin nga hindi close kay BBM huhu ga Leni lutang2 siya ya poga. Disappointed but not surprised. Try ko convert ang isa ko pa ka cousin.,2022-05-07 23:54:06,1,,,,,,
@Leni_anmn 山田が打撃で結果残してる時ってセンター返しが多い印象なのよね。 それが最近は強引に引っ張って空振りかサードゴロが多い。,2022-05-07 23:54:03,0,,,,,,
@inquirerdotnet @melvingasconINQ Tumigil ka na @IskoMoreno ! Useless na ang kapuputak mo.  HINDI ELITISTA SI VP LENI !!!!!! Manood ka na lang at matuto ka!  😠😠😠😠😠,2022-05-07 23:53:54,55,,,,,,
edi sanaol nakapunta sa makati rally ni leni 😒 AMPOTCHI ANG LAPIT LAPIT LNG NMN MA BAT DI MOKO PINAYAGAN,2022-05-07 23:53:50,0,,,,,,
Magsisimba for Leni yiiieeee,2022-05-07 23:53:47,0,,,,,,
Umabot na pala kagabi na 1Million 😭😭😭 grabee kakaproud sabihin na isa ako sa mga tumindig sa mismong grounds ng Miting De Avance ni VP Leni 😭🫰🌸,2022-05-07 23:53:43,0,,,,,,
MANANALO SI LENI.,2022-05-07 23:53:42,1,,,,,,
"sabi mo di ba, pag namulat na, kasalanan na ang pag pikit pero baket bbm ka? 🤮🤮 i know na may sarili tayong paniniwala pero di batayan ang religion cyst, BAYAN!! BAYAN!!! GISING, DI KITA KILALANG GANYAN. mahal kita at gusto ko imulat ang mata mo jeng!! alam mong dapat si leni!!",2022-05-07 23:53:40,2,,,,,,
"@inquirerdotnet @melvingasconINQ lol lack of understanding. Kakapagod ka na, grabe na sya mag salita against leni since presscon na let leni withdraw. Eh sinu ba nagsabi nun? Blaming others for his actions ahaay",2022-05-07 23:53:34,7,,,,,,
@superawesomac PUTANGINANG MGA YAN HIRAP NA HIRAP MGA TAO DITO SA NOVALICHES KYUSI KAHAPON WALANG BUS! PAPUNTA KAMING RALLY NI LENI-KIKO BUTI NALANG WE FIND WAYS AT NAKARATING PARIN,2022-05-07 23:53:24,8,,,,,,
@lenroaring Natakot ako len hype iba tingin ng mama mo leni 😂😂,2022-05-07 23:53:20,0,,,,,,
@inquirerdotnet @melvingasconINQ Iyong simple lang ang bahay ni Leni at di sa mamahaling village. Iyong pinakamallit ang pagaaari kumpara sa ibang presidentiables. Iyong dinonate sa Marawi ang perang binigay sa kanya para sa election protest kaysa sa ginawang savings. Isip isip mayor bago ibuka ang bibig.,2022-05-07 23:53:19,131,,,,,,
mga iyakin for leni!!!!,2022-05-07 23:53:17,1,,,,,,
@Malaika84448185 Itna protest ki jagah kuxh study kr leni thi 😂,2022-05-07 23:53:03,0,,,,,,
@ReaMar40864725 @smninews Yes leni is trapo.,2022-05-07 23:53:03,3,,,,,,
Good luck VP Leni 🌸,2022-05-07 23:52:56,3,,,,,,
Gimana? Sekarang sudah tau bukan? Yang pecah tidak dapat diperbaiki,2022-05-07 23:52:27,0,,,,,,
@tohgikundesu ありがとうございます╭( ･ㅂ･)و ̑̑ ぐっ 気をつけて帰りまーす！,2022-05-07 23:52:24,1,,,,,,
"Pag nakita niu ou aq sa ayala malls manila bay na punong puno ng bbmies pero Leni parin tapos naka yellow mask at white polo shirt,,, yas aq po un 😍",2022-05-07 23:52:20,0,,,,,,
@jhcsnktpnn @SnBanz @suzyanniston Hahahahhahahaha pag kay Leni volunteers daw pag Kay BBM hakot? Ganun? 😂😂😂😂😂 Patawa kayo gawain nyo kasi😂😂😂😂😂,2022-05-07 23:52:19,0,,,,,,
Happy kayko kay ako friends sa Dota2 kay ila ivote kay si VP LENI😭,2022-05-07 23:52:15,0,,,,,,
@aIphasage goosebumps😭😭😭,2022-05-07 23:52:07,0,,,,,,
"@IskoMoreno Kung handa ka, DO NOT ATTACK VP Leni.  Bitter ka?!",2022-05-07 23:52:03,6,,,,,,
"So I'm already mentally stable, I didn't cry for almost 10 months but when I watched the meeting de Avance, I literally cry idk why but I feel that we really need Vp Leni. The most that scared me is if ever na Hindi si Vp Leni manalo ( sana wag Naman) is Hindi nya magawa Yung +",2022-05-07 23:51:54,0,,,,,,
"@AltABSCBN thanks for your dignity, we stand as one, Leni-Kiko win",2022-05-07 23:51:53,0,,,,,,
aaaaaa ms. mau wrob endorsed vp leni 💗,2022-05-07 23:51:51,0,,,,,,
D mo maramdaman sinabi ni Leni kc binabasa.. scripted d mula sa puso..,2022-05-07 23:51:47,0,,,,,,
@sekyu_chaser Your claiming n nman eh na tarlac for leni jusko gurl wake up.....talong talo n kayo hahahaha Len Len loser,2022-05-07 23:51:23,0,,,,,,
my tito went from ping to isko to leni!!!!! yaaass 🌷,2022-05-07 23:51:22,2,,,,,,
"Pansin niyo? Daming kakamputas nagkakasala sa batas this election season and yet 'yung sinasamba nila, which is si Madumb, hindi man lang sila ma-call out. Expecting a magulo na Pilipinas if Leni wins. 🥹 Bcos for sure, maghahaharian sila. #MakatilsPink #MarcosDuterte2022",2022-05-07 23:51:22,4,,,,,,
@rapplerdotcom OR The Other Way Around..LENI will upset BeBeM in his stronghold..,2022-05-07 23:51:18,1,,,,,,
"Ngano mani, mag breakdown jud ko basta mapildi si VP Leni.😭",2022-05-07 23:51:16,1,,,,,,
good morning namam kay taxi driver na dds ar marcos apologist hahahaha nababaliw daw ang Pilipinas kasi marami supporters si Leni (na Aquino raw hahhaha),2022-05-07 23:51:05,0,,,,,,
"@ReyVelasc1 @cnnphilippines @RexRemitio Bakit d diniritso sa authoridad diba o kya sa media para maimbestigahan.. Hay naku lahat pong politiko kahit sino, nagbibigay ng pera. Don't tell me, c LENI, PACQUIAO,ISKO atbp di ngbibigay.. storyahe.. lhat yan sila. Kya hwag msgmalinis.. naku..",2022-05-07 23:51:04,0,,,,,,
@_junessamei Manny&gt,Leni fax,2022-05-07 23:51:01,0,,,,,
"Woke up crying, sa panaginip ko sunisigaw tayo ng leni-kiko. Sobrang nakakakaba itong election na 'to.",2022-05-07 23:50:56,1,,,,,,
"update ditooo : ""sir lahat kame leni dito"" HINDI TO IMBENTOOOO 😭😭💖🌸",2022-05-07 23:50:47,1,,,,,,
@TroutWithFur You think the gray outline is good as well on the darker color?,2022-05-07 23:50:44,0,,,,,,
Exit polls will be conducted by MSMs and try to establish a winning trend for Leni. Let us all be vigilant.,2022-05-07 23:50:30,0,,,,,,
"As a kpop stan, mamimiss ko ang era na ito! Filo kpop stans ang laging nag ba-bardagulan pero first time in history nagkaisa tayo para ipakita sa mga pilipino na si Leni Robredo ang kapatdapat mamumo dito sa pinas",2022-05-07 23:50:26,4,,,,,,
"Naiiyak ako early in the morning haha Totoo ang election anxiety, pero I'm feeling hopeful. Leni is the leader we all deserve and aspire to be.   Sana lang talaga, pilipinas, wag na natin palampasin 💗",2022-05-07 23:50:19,0,,,,,,
Sino nga ulit sa mga anak ni Leni yung sinubukang agawin yung Valedictorian dun sa totoong valedictorian?,2022-05-07 23:50:10,0,,,,,,
"NAMATAY SIYA HABANG PRESIDENT SIYA THEN LENI WOULD BE THE NEW PRESIDENT BECAUSE SHE'S THE VP OF THE COUNTRY. WAH GAGO GRABE SUPER ICONIC PALA NON IF EVER NANGYARI, LIKE WOMEN LEAD THE COUNTRY",2022-05-07 23:50:09,0,,,,,,
"Tas gagi he confessed that he was privileged enough to not register to vote before. Tas it's his first time ngayon. He only registered because Leni is once in a generation candidate, and he didn't want to waste his right to vote for her.",2022-05-07 23:50:03,1,,,,,,
pag nanalo si Leni mag aaral na ko promise hahahaha,2022-05-07 23:50:00,10,,,,,,
@jillrobredo @jpgrobredo @aikarobredo @lenirobredo God bless your mom and her three daughters and Godbless all the Filipino people who thirst for a good governance and Godbless the Philippines to have our rightful leaders. Lord Jesus we pray that You bless Leni Robredo and Kiko Pangilinan to be our next President and Vice Pres.,2022-05-07 23:49:59,0,,,,,,
"@franelipolipi Makapanlimbawt nga sila (wala na ba tay apil? Hahahaha) gyud ang dako na percentage na makapadaog nila leni and kiko. Pllsssssss, Lord. Mayta gyud.",2022-05-07 23:49:58,1,,,,,,
Minsan  lang natin makikita ang isang pinunong katulad ni VP Leni Robredo. Huwag sana natin sayangin ang kaisa isang pagkakataon para umangat ang bansa at ang mga mamamayan nito.,2022-05-07 23:49:55,1,,,,,,
SUNOG MUKA FOR LENI-KIKO,2022-05-07 23:49:45,0,,,,,,
@FCKxandeeBlck @is_it_right @yoleb77 @piamagalona @COMELEC Hahahah alam mo kaung mga supporters ni leni ang sumisira sa knyang imahe and also sya din pala kasi the way she act the way she lied halata na. Vote your own choice dont dictate others😂😁,2022-05-07 23:49:30,0,,,,,,
"super saya ko talaga, hindi ko sila pinilit pero kusa na lang silang dumating sa final decision na maging kakampink T__T from ping and isko to leni to ping and isko again, pero end game na talaga nila si leni even months before May",2022-05-07 23:49:28,0,,,,,,
Hahahahaha funny jud kaayo mag post ug anti-Leni tapos kung e call out ignan dayon tag “we respect your opinion so pls respect ours” DAFUQ???????? mao na basta mu botar ug adik sa cocaine hahahahah,2022-05-07 23:49:22,18,,,,,,
"Character na naman pala sa speech ng ibang candidates si Maam Leni last night, last day to campaign daw kaya huling hirit ng paninira. Hays! #PilipinasIsPink",2022-05-07 23:49:18,2,,,,,,
Let leni lead. I will vote you as my President! Second choice is Lacson!,2022-05-07 23:49:14,0,,,,,,
not this “pabigat na pinsan” calling Leni as lugaw and b*b* pero hindi man lang nakapagtapos ng high school kasi bulakbol at tamad mag-aral.,2022-05-07 23:49:11,2,,,,,,
@cuteDAIE Hahahahaha nah goods nako nanay leni dami ka naman artista ee. ✌️👊,2022-05-07 23:49:06,1,,,,,,
"pag nanalo si Leni, tttbe na to 🥹",2022-05-07 23:49:04,10,,,,,,
"@lenirobredo Happy Mother's Day Mama Leni, mamimiss namin ang pangampanya. Love u 😘",2022-05-07 23:49:02,0,,,,,,
@GerryCacanindin @nuelleduterte Kapal naman ng mukha nyang gamitin ang Duterte na surname tapos ipagsigawan na Leni Kiko sya. 😂😂😂😂😂,2022-05-07 23:48:59,0,,,,,,
Sa lahat ng Artistang dumalo kagabe kay Vp leni ang na star struck lang ako kay Miss U Catriona Gray at Anne curtis sobrang gandaaaa pota!!,2022-05-07 23:48:56,11,,,,,,
@Haru_0509_02 えぐいて🥹🥹🥹,2022-05-07 23:48:52,0,,,,,,
@inquirerdotnet @melvingasconINQ Tama si Isko. AT Parehong wakang akam si Leni pati na ren si bbm sa buhay ng mga mahihirap. Si Isko ang iboto naten!!! No  No to red.!!! No to pinks!!!,2022-05-07 23:48:52,6,,,,,,
Not really a vocal person during elections as to who I support or who will I vote for.....But I'm proud to say that I am a #Kakampink for Leni. #LetLeniLead2022,2022-05-07 23:48:19,1,,,,,,
"@ruzmishael Naka bike kami. Kaya mabilis umuwi eheheh. Tapos habang naka bike, hawak ko pa rin Leni light ko ehehehe.",2022-05-07 23:48:12,1,,,,,,
ketamine addicts for leni kiko,2022-05-07 23:48:09,1,,,,,,
@rex_gatchalian Leni may the 9th be with you!mawalan na pagod ko as abunado volunteers!,2022-05-07 23:48:08,1,,,,,,
"@inquirerdotnet @melvingasconINQ nung si manny nag rally sa tacloban yung ka'isa-isang poster ni leni sa rtr plaza di tinanggal, pero nung ikaw nag rally tinanggal niyo, kaya ka nauungusan kasi ang trapo mo.",2022-05-07 23:48:07,236,,,,,,
Good morning sainyo guyzz!!! At sa mga dumalo kagabi sa miting de avance ni President Leni sana safe kaung nka uwi☺️,2022-05-07 23:47:59,0,,,,,,
Naka post sa FB l. noon rally sa Laguna e may picture silang maganak kay Sen Kiko at VP Leni. i post ko sana kaso lang nahiya nmn ako dahil wala akong permiso para dito. kahit naka post sa FB accounts ng cousin ko.,2022-05-07 23:47:56,0,,,,,,
"@jasminefr_ Luh tatlong beses na nga nagparecount, tas lumamang pa si leni lol mga mind conditioning nila",2022-05-07 23:47:54,1,,,,,,
@gue11_mark @JustSarahG This Is It Happy Mothers Day VP Leni @lenirobredo  @JustSarahG #SarahGeronimo,2022-05-07 23:47:47,0,,,,,,
@PinoyAkoBlog Gd morning to kakampinks..guys aga nyo nmang magpaiyak guys..pero ok lng ...alam nman ntin na ipapanalo ntin to...see u on may 9 mga kakampinks ...god bless...madam leni at sir kiko..frm angeles city,2022-05-07 23:47:45,0,,,,,,
my papa and mama making kwento sa mga dumadaang kapitbahay na kung pwede si madam leni ang iboto at kung bakit dapat siya &lt,3 :((,2022-05-07 23:47:44,4,,,,,
"@iamwhatiam300 LUHHH! KUHANG KUHA MO NGA YUNG NANAY MONG BOPLAKS, ANO TINGIN NYO KAY LENI ENGKANTADA NASA MUNDO NG MAJIKA 🤣🤣🤣 JUSQ BAKIT BA GANYAN MGA PAGIISIP NILA!!!",2022-05-07 23:47:40,0,,,,,,
"As the campaign period ends, I want to express my utmost gratitude and respect to all the volunteers of RPC especially the Youth for Leni Nueva Vizcaya. Grabe kayo ! Hindi man ako nakasama sa H2H Campaigns, proud naman akong nariyan kayo para tumindig. So kelan tayo........",2022-05-07 23:47:31,2,,,,,,
"@kasmot_07 @rapplerdotcom wala kaso naipanalo si leni, ano ekonomiya ang napalago ni leni?! mlulugi pinas dhl alm nya pgcompute ay 4 x 40 = 1600! gusto lumaban s pgka president pra mghiganti s mga marcos..so wlng pkialam s pgsisilbi...4 x 40 = 1600! 4 x 40 = 1600!, 4 x 40 = 1600!",2022-05-07 23:47:29,0,,,,,,
"I tore down a Duterte streamer that someone put up using our wall back in 2016. Haha. This time, I’mproud to say that I don’t have to do that, my neighborhood is not fake news town. Leni ang nangingibabaw dito 💖",2022-05-07 23:47:28,3,,,,,,
Happy Mother's day until tomorrow!!!!!! Manalo tayo Madam Leni Robredo!!! 💕🙏👆🇵🇭💯🌹,2022-05-07 23:47:23,36,,,,,,
"habang nasa elevator pababa galing sa unit ko, may nakasabay ako na 2 galing chilltop  boy: BBM ka na? girl: kahit hindi tumakbo si VP leni, hindi ko sya boboto, kahit di nalang ako bumoto kung sya lang din  kahit lasing si ate, alam ko sino dapat iboto berigud",2022-05-07 23:47:17,1,,,,,,
@raissawriter Tama ung isang vlogger ni Isko. 8 months is not enough to negate all the issues thrown at VP Leni. DDS and LBM vloggers did a very good demolition job on Leni. Sad😔,2022-05-07 23:47:17,1,,,,,,
Halin sa pagtulog ko asta pagbugtaw ko gahibi ko takon ya. Hayyyy. Everyone is uniting for Leni-Kiko. 🥹💕,2022-05-07 23:47:15,1,,,,,,
mga naging iyakin for leni-kiko,2022-05-07 23:47:11,1,,,,,,
SA MGA NAGPAPIC PO NG PLACARD KONG HAGGARD FOR LENI PASEND NAMAN SAKJN HSJAHSHSHSHAHAH #MAKATIISPINK #MitingDeAvanceLeniKiko,2022-05-07 23:47:08,0,,,,,,
